project_name,num_features,reduction_percentage,feature_names
DecisionTree_19_features_reduced_by_0_percent0,19,0,"housing, pdays, contact, cons.conf.idx, nr.employed, day_of_week, y, marital, education, euribor3m, job, loan, poutcome, month, emp.var.rate, previous, age, default, cons.price.idx"
DecisionTree_19_features_reduced_by_20_percent0,19,20,"housing, pdays, contact, cons.conf.idx, nr.employed, day_of_week, y, marital, education, euribor3m, job, loan, poutcome, month, emp.var.rate, previous, age, default, cons.price.idx"
DecisionTree_19_features_reduced_by_40_percent0,19,40,"housing, pdays, contact, cons.conf.idx, nr.employed, day_of_week, y, marital, education, euribor3m, job, loan, poutcome, month, emp.var.rate, previous, age, default, cons.price.idx"
DecisionTree_19_features_reduced_by_60_percent0,19,60,"housing, pdays, contact, cons.conf.idx, nr.employed, day_of_week, y, marital, education, euribor3m, job, loan, poutcome, month, emp.var.rate, previous, age, default, cons.price.idx"
DecisionTree_19_features_reduced_by_80_percent0,19,80,"housing, pdays, contact, cons.conf.idx, nr.employed, day_of_week, y, marital, education, euribor3m, job, loan, poutcome, month, emp.var.rate, previous, age, default, cons.price.idx"
DecisionTree_18_features_reduced_by_0_percent0,18,0,"education, previous, contact, cons.price.idx, nr.employed, y, day_of_week, loan, default, housing, emp.var.rate, cons.conf.idx, job, poutcome, pdays, age, month, marital"
DecisionTree_18_features_reduced_by_20_percent0,18,20,"education, previous, contact, cons.price.idx, nr.employed, y, day_of_week, loan, default, housing, emp.var.rate, cons.conf.idx, job, poutcome, pdays, age, month, marital"
DecisionTree_18_features_reduced_by_40_percent0,18,40,"education, previous, contact, cons.price.idx, nr.employed, y, day_of_week, loan, default, housing, emp.var.rate, cons.conf.idx, job, poutcome, pdays, age, month, marital"
DecisionTree_18_features_reduced_by_60_percent0,18,60,"education, previous, contact, cons.price.idx, nr.employed, y, day_of_week, loan, default, housing, emp.var.rate, cons.conf.idx, job, poutcome, pdays, age, month, marital"
DecisionTree_18_features_reduced_by_80_percent0,18,80,"education, previous, contact, cons.price.idx, nr.employed, y, day_of_week, loan, default, housing, emp.var.rate, cons.conf.idx, job, poutcome, pdays, age, month, marital"
DecisionTree_17_features_reduced_by_0_percent0,17,0,"age, default, cons.conf.idx, marital, housing, euribor3m, contact, previous, job, month, y, pdays, poutcome, loan, nr.employed, cons.price.idx, education"
DecisionTree_17_features_reduced_by_20_percent0,17,20,"age, default, cons.conf.idx, marital, housing, euribor3m, contact, previous, job, month, y, pdays, poutcome, loan, nr.employed, cons.price.idx, education"
DecisionTree_17_features_reduced_by_40_percent0,17,40,"age, default, cons.conf.idx, marital, housing, euribor3m, contact, previous, job, month, y, pdays, poutcome, loan, nr.employed, cons.price.idx, education"
DecisionTree_17_features_reduced_by_60_percent0,17,60,"age, default, cons.conf.idx, marital, housing, euribor3m, contact, previous, job, month, y, pdays, poutcome, loan, nr.employed, cons.price.idx, education"
DecisionTree_17_features_reduced_by_80_percent0,17,80,"age, default, cons.conf.idx, marital, housing, euribor3m, contact, previous, job, month, y, pdays, poutcome, loan, nr.employed, cons.price.idx, education"
DecisionTree_16_features_reduced_by_0_percent0,16,0,"education, job, day_of_week, age, month, marital, cons.price.idx, contact, loan, previous, cons.conf.idx, poutcome, housing, emp.var.rate, pdays, y"
DecisionTree_16_features_reduced_by_20_percent0,16,20,"education, job, day_of_week, age, month, marital, cons.price.idx, contact, loan, previous, cons.conf.idx, poutcome, housing, emp.var.rate, pdays, y"
DecisionTree_16_features_reduced_by_40_percent0,16,40,"education, job, day_of_week, age, month, marital, cons.price.idx, contact, loan, previous, cons.conf.idx, poutcome, housing, emp.var.rate, pdays, y"
DecisionTree_16_features_reduced_by_60_percent0,16,60,"education, job, day_of_week, age, month, marital, cons.price.idx, contact, loan, previous, cons.conf.idx, poutcome, housing, emp.var.rate, pdays, y"
DecisionTree_16_features_reduced_by_80_percent0,16,80,"education, job, day_of_week, age, month, marital, cons.price.idx, contact, loan, previous, cons.conf.idx, poutcome, housing, emp.var.rate, pdays, y"
DecisionTree_15_features_reduced_by_0_percent0,15,0,"cons.conf.idx, marital, education, emp.var.rate, euribor3m, contact, default, previous, housing, age, y, job, nr.employed, day_of_week, loan"
DecisionTree_15_features_reduced_by_20_percent0,15,20,"cons.conf.idx, marital, education, emp.var.rate, euribor3m, contact, default, previous, housing, age, y, job, nr.employed, day_of_week, loan"
DecisionTree_15_features_reduced_by_40_percent0,15,40,"cons.conf.idx, marital, education, emp.var.rate, euribor3m, contact, default, previous, housing, age, y, job, nr.employed, day_of_week, loan"
DecisionTree_15_features_reduced_by_60_percent0,15,60,"cons.conf.idx, marital, education, emp.var.rate, euribor3m, contact, default, previous, housing, age, y, job, nr.employed, day_of_week, loan"
DecisionTree_15_features_reduced_by_80_percent0,15,80,"cons.conf.idx, marital, education, emp.var.rate, euribor3m, contact, default, previous, housing, age, y, job, nr.employed, day_of_week, loan"
DecisionTree_14_features_reduced_by_0_percent0,14,0,"poutcome, cons.price.idx, default, housing, y, previous, euribor3m, education, cons.conf.idx, job, emp.var.rate, day_of_week, month, marital"
DecisionTree_14_features_reduced_by_20_percent0,14,20,"poutcome, cons.price.idx, default, housing, y, previous, euribor3m, education, cons.conf.idx, job, emp.var.rate, day_of_week, month, marital"
DecisionTree_14_features_reduced_by_40_percent0,14,40,"poutcome, cons.price.idx, default, housing, y, previous, euribor3m, education, cons.conf.idx, job, emp.var.rate, day_of_week, month, marital"
DecisionTree_14_features_reduced_by_60_percent0,14,60,"poutcome, cons.price.idx, default, housing, y, previous, euribor3m, education, cons.conf.idx, job, emp.var.rate, day_of_week, month, marital"
DecisionTree_14_features_reduced_by_80_percent0,14,80,"poutcome, cons.price.idx, default, housing, y, previous, euribor3m, education, cons.conf.idx, job, emp.var.rate, day_of_week, month, marital"
DecisionTree_13_features_reduced_by_0_percent0,13,0,"education, previous, contact, age, loan, cons.price.idx, cons.conf.idx, euribor3m, job, month, nr.employed, poutcome, marital"
DecisionTree_13_features_reduced_by_20_percent0,13,20,"education, previous, contact, age, loan, cons.price.idx, cons.conf.idx, euribor3m, job, month, nr.employed, poutcome, marital"
DecisionTree_13_features_reduced_by_40_percent0,13,40,"education, previous, contact, age, loan, cons.price.idx, cons.conf.idx, euribor3m, job, month, nr.employed, poutcome, marital"
