project_name,num_features,reduction_percentage,feature_names
GaussianNB_19_features_reduced_by_0_percent0,19,0,"marital, job, y, previous, default, euribor3m, cons.conf.idx, loan, contact, housing, emp.var.rate, month, poutcome, age, cons.price.idx, day_of_week, education, nr.employed, pdays"
GaussianNB_19_features_reduced_by_20_percent0,19,20,"marital, job, y, previous, default, euribor3m, cons.conf.idx, loan, contact, housing, emp.var.rate, month, poutcome, age, cons.price.idx, day_of_week, education, nr.employed, pdays"
GaussianNB_19_features_reduced_by_40_percent0,19,40,"marital, job, y, previous, default, euribor3m, cons.conf.idx, loan, contact, housing, emp.var.rate, month, poutcome, age, cons.price.idx, day_of_week, education, nr.employed, pdays"
GaussianNB_19_features_reduced_by_60_percent0,19,60,"marital, job, y, previous, default, euribor3m, cons.conf.idx, loan, contact, housing, emp.var.rate, month, poutcome, age, cons.price.idx, day_of_week, education, nr.employed, pdays"
GaussianNB_19_features_reduced_by_80_percent0,19,80,"marital, job, y, previous, default, euribor3m, cons.conf.idx, loan, contact, housing, emp.var.rate, month, poutcome, age, cons.price.idx, day_of_week, education, nr.employed, pdays"
GaussianNB_18_features_reduced_by_0_percent0,18,0,"month, contact, cons.conf.idx, poutcome, marital, default, education, housing, previous, emp.var.rate, day_of_week, euribor3m, cons.price.idx, nr.employed, y, job, age, pdays"
GaussianNB_18_features_reduced_by_20_percent0,18,20,"month, contact, cons.conf.idx, poutcome, marital, default, education, housing, previous, emp.var.rate, day_of_week, euribor3m, cons.price.idx, nr.employed, y, job, age, pdays"
GaussianNB_18_features_reduced_by_40_percent0,18,40,"month, contact, cons.conf.idx, poutcome, marital, default, education, housing, previous, emp.var.rate, day_of_week, euribor3m, cons.price.idx, nr.employed, y, job, age, pdays"
GaussianNB_18_features_reduced_by_60_percent0,18,60,"month, contact, cons.conf.idx, poutcome, marital, default, education, housing, previous, emp.var.rate, day_of_week, euribor3m, cons.price.idx, nr.employed, y, job, age, pdays"
GaussianNB_18_features_reduced_by_80_percent0,18,80,"month, contact, cons.conf.idx, poutcome, marital, default, education, housing, previous, emp.var.rate, day_of_week, euribor3m, cons.price.idx, nr.employed, y, job, age, pdays"
GaussianNB_17_features_reduced_by_0_percent0,17,0,"pdays, y, age, euribor3m, default, loan, day_of_week, month, contact, nr.employed, cons.conf.idx, cons.price.idx, poutcome, education, previous, marital, housing"
GaussianNB_17_features_reduced_by_20_percent0,17,20,"pdays, y, age, euribor3m, default, loan, day_of_week, month, contact, nr.employed, cons.conf.idx, cons.price.idx, poutcome, education, previous, marital, housing"
GaussianNB_17_features_reduced_by_40_percent0,17,40,"pdays, y, age, euribor3m, default, loan, day_of_week, month, contact, nr.employed, cons.conf.idx, cons.price.idx, poutcome, education, previous, marital, housing"
GaussianNB_17_features_reduced_by_60_percent0,17,60,"pdays, y, age, euribor3m, default, loan, day_of_week, month, contact, nr.employed, cons.conf.idx, cons.price.idx, poutcome, education, previous, marital, housing"
GaussianNB_17_features_reduced_by_80_percent0,17,80,"pdays, y, age, euribor3m, default, loan, day_of_week, month, contact, nr.employed, cons.conf.idx, cons.price.idx, poutcome, education, previous, marital, housing"
GaussianNB_16_features_reduced_by_0_percent0,16,0,"poutcome, contact, euribor3m, age, loan, education, nr.employed, emp.var.rate, job, day_of_week, month, marital, previous, y, default, housing"
GaussianNB_16_features_reduced_by_20_percent0,16,20,"poutcome, contact, euribor3m, age, loan, education, nr.employed, emp.var.rate, job, day_of_week, month, marital, previous, y, default, housing"
GaussianNB_16_features_reduced_by_40_percent0,16,40,"poutcome, contact, euribor3m, age, loan, education, nr.employed, emp.var.rate, job, day_of_week, month, marital, previous, y, default, housing"
GaussianNB_16_features_reduced_by_60_percent0,16,60,"poutcome, contact, euribor3m, age, loan, education, nr.employed, emp.var.rate, job, day_of_week, month, marital, previous, y, default, housing"
GaussianNB_16_features_reduced_by_80_percent0,16,80,"poutcome, contact, euribor3m, age, loan, education, nr.employed, emp.var.rate, job, day_of_week, month, marital, previous, y, default, housing"
GaussianNB_15_features_reduced_by_0_percent0,15,0,"euribor3m, loan, age, day_of_week, default, month, poutcome, marital, housing, y, cons.conf.idx, pdays, nr.employed, contact, cons.price.idx"
GaussianNB_15_features_reduced_by_20_percent0,15,20,"euribor3m, loan, age, day_of_week, default, month, poutcome, marital, housing, y, cons.conf.idx, pdays, nr.employed, contact, cons.price.idx"
GaussianNB_15_features_reduced_by_40_percent0,15,40,"euribor3m, loan, age, day_of_week, default, month, poutcome, marital, housing, y, cons.conf.idx, pdays, nr.employed, contact, cons.price.idx"
GaussianNB_15_features_reduced_by_60_percent0,15,60,"euribor3m, loan, age, day_of_week, default, month, poutcome, marital, housing, y, cons.conf.idx, pdays, nr.employed, contact, cons.price.idx"
