project_name,num_features,reduction_percentage,feature_names
LogisticRegression_19_features_reduced_by_0_percent0,19,0,"y, day_of_week, housing, contact, marital, nr.employed, age, cons.price.idx, loan, previous, default, education, month, emp.var.rate, poutcome, euribor3m, pdays, job, cons.conf.idx"
LogisticRegression_19_features_reduced_by_20_percent0,19,20,"y, day_of_week, housing, contact, marital, nr.employed, age, cons.price.idx, loan, previous, default, education, month, emp.var.rate, poutcome, euribor3m, pdays, job, cons.conf.idx"
LogisticRegression_19_features_reduced_by_40_percent0,19,40,"y, day_of_week, housing, contact, marital, nr.employed, age, cons.price.idx, loan, previous, default, education, month, emp.var.rate, poutcome, euribor3m, pdays, job, cons.conf.idx"
LogisticRegression_19_features_reduced_by_60_percent0,19,60,"y, day_of_week, housing, contact, marital, nr.employed, age, cons.price.idx, loan, previous, default, education, month, emp.var.rate, poutcome, euribor3m, pdays, job, cons.conf.idx"
LogisticRegression_19_features_reduced_by_80_percent0,19,80,"y, day_of_week, housing, contact, marital, nr.employed, age, cons.price.idx, loan, previous, default, education, month, emp.var.rate, poutcome, euribor3m, pdays, job, cons.conf.idx"
LogisticRegression_18_features_reduced_by_0_percent0,18,0,"day_of_week, housing, education, poutcome, contact, pdays, previous, cons.conf.idx, age, month, emp.var.rate, cons.price.idx, nr.employed, job, marital, euribor3m, default, y"
LogisticRegression_18_features_reduced_by_20_percent0,18,20,"day_of_week, housing, education, poutcome, contact, pdays, previous, cons.conf.idx, age, month, emp.var.rate, cons.price.idx, nr.employed, job, marital, euribor3m, default, y"
LogisticRegression_18_features_reduced_by_40_percent0,18,40,"day_of_week, housing, education, poutcome, contact, pdays, previous, cons.conf.idx, age, month, emp.var.rate, cons.price.idx, nr.employed, job, marital, euribor3m, default, y"
LogisticRegression_18_features_reduced_by_60_percent0,18,60,"day_of_week, housing, education, poutcome, contact, pdays, previous, cons.conf.idx, age, month, emp.var.rate, cons.price.idx, nr.employed, job, marital, euribor3m, default, y"
LogisticRegression_18_features_reduced_by_80_percent0,18,80,"day_of_week, housing, education, poutcome, contact, pdays, previous, cons.conf.idx, age, month, emp.var.rate, cons.price.idx, nr.employed, job, marital, euribor3m, default, y"
LogisticRegression_17_features_reduced_by_0_percent0,17,0,"month, nr.employed, emp.var.rate, pdays, default, marital, age, education, cons.conf.idx, day_of_week, y, job, contact, loan, euribor3m, housing, cons.price.idx"
LogisticRegression_17_features_reduced_by_20_percent0,17,20,"month, nr.employed, emp.var.rate, pdays, default, marital, age, education, cons.conf.idx, day_of_week, y, job, contact, loan, euribor3m, housing, cons.price.idx"
LogisticRegression_17_features_reduced_by_40_percent0,17,40,"month, nr.employed, emp.var.rate, pdays, default, marital, age, education, cons.conf.idx, day_of_week, y, job, contact, loan, euribor3m, housing, cons.price.idx"
LogisticRegression_17_features_reduced_by_60_percent0,17,60,"month, nr.employed, emp.var.rate, pdays, default, marital, age, education, cons.conf.idx, day_of_week, y, job, contact, loan, euribor3m, housing, cons.price.idx"
LogisticRegression_17_features_reduced_by_80_percent0,17,80,"month, nr.employed, emp.var.rate, pdays, default, marital, age, education, cons.conf.idx, day_of_week, y, job, contact, loan, euribor3m, housing, cons.price.idx"
LogisticRegression_16_features_reduced_by_0_percent0,16,0,"housing, marital, poutcome, previous, nr.employed, default, age, contact, day_of_week, loan, cons.price.idx, euribor3m, job, education, month, cons.conf.idx"
LogisticRegression_16_features_reduced_by_20_percent0,16,20,"housing, marital, poutcome, previous, nr.employed, default, age, contact, day_of_week, loan, cons.price.idx, euribor3m, job, education, month, cons.conf.idx"
LogisticRegression_16_features_reduced_by_40_percent0,16,40,"housing, marital, poutcome, previous, nr.employed, default, age, contact, day_of_week, loan, cons.price.idx, euribor3m, job, education, month, cons.conf.idx"
LogisticRegression_16_features_reduced_by_60_percent0,16,60,"housing, marital, poutcome, previous, nr.employed, default, age, contact, day_of_week, loan, cons.price.idx, euribor3m, job, education, month, cons.conf.idx"
LogisticRegression_16_features_reduced_by_80_percent0,16,80,"housing, marital, poutcome, previous, nr.employed, default, age, contact, day_of_week, loan, cons.price.idx, euribor3m, job, education, month, cons.conf.idx"
LogisticRegression_15_features_reduced_by_0_percent0,15,0,"loan, education, cons.conf.idx, emp.var.rate, marital, previous, age, job, day_of_week, month, pdays, contact, housing, euribor3m, y"
LogisticRegression_15_features_reduced_by_20_percent0,15,20,"loan, education, cons.conf.idx, emp.var.rate, marital, previous, age, job, day_of_week, month, pdays, contact, housing, euribor3m, y"
LogisticRegression_15_features_reduced_by_40_percent0,15,40,"loan, education, cons.conf.idx, emp.var.rate, marital, previous, age, job, day_of_week, month, pdays, contact, housing, euribor3m, y"
LogisticRegression_15_features_reduced_by_60_percent0,15,60,"loan, education, cons.conf.idx, emp.var.rate, marital, previous, age, job, day_of_week, month, pdays, contact, housing, euribor3m, y"
LogisticRegression_15_features_reduced_by_80_percent0,15,80,"loan, education, cons.conf.idx, emp.var.rate, marital, previous, age, job, day_of_week, month, pdays, contact, housing, euribor3m, y"
