project_name,num_features,reduction_percentage,feature_names
RandomForest_19_features_reduced_by_0_percent0,19,0,"cons.price.idx, housing, cons.conf.idx, nr.employed, month, loan, previous, day_of_week, y, contact, pdays, age, job, default, education, poutcome, euribor3m, emp.var.rate, marital"
RandomForest_19_features_reduced_by_20_percent0,19,20,"cons.price.idx, housing, cons.conf.idx, nr.employed, month, loan, previous, day_of_week, y, contact, pdays, age, job, default, education, poutcome, euribor3m, emp.var.rate, marital"
RandomForest_19_features_reduced_by_40_percent0,19,40,"cons.price.idx, housing, cons.conf.idx, nr.employed, month, loan, previous, day_of_week, y, contact, pdays, age, job, default, education, poutcome, euribor3m, emp.var.rate, marital"
RandomForest_19_features_reduced_by_60_percent0,19,60,"cons.price.idx, housing, cons.conf.idx, nr.employed, month, loan, previous, day_of_week, y, contact, pdays, age, job, default, education, poutcome, euribor3m, emp.var.rate, marital"
RandomForest_19_features_reduced_by_80_percent0,19,80,"cons.price.idx, housing, cons.conf.idx, nr.employed, month, loan, previous, day_of_week, y, contact, pdays, age, job, default, education, poutcome, euribor3m, emp.var.rate, marital"
RandomForest_18_features_reduced_by_0_percent0,18,0,"default, cons.price.idx, nr.employed, month, job, previous, emp.var.rate, loan, cons.conf.idx, pdays, poutcome, y, age, housing, education, marital, day_of_week, contact"
RandomForest_18_features_reduced_by_20_percent0,18,20,"default, cons.price.idx, nr.employed, month, job, previous, emp.var.rate, loan, cons.conf.idx, pdays, poutcome, y, age, housing, education, marital, day_of_week, contact"
RandomForest_18_features_reduced_by_40_percent0,18,40,"default, cons.price.idx, nr.employed, month, job, previous, emp.var.rate, loan, cons.conf.idx, pdays, poutcome, y, age, housing, education, marital, day_of_week, contact"
RandomForest_18_features_reduced_by_60_percent0,18,60,"default, cons.price.idx, nr.employed, month, job, previous, emp.var.rate, loan, cons.conf.idx, pdays, poutcome, y, age, housing, education, marital, day_of_week, contact"
RandomForest_18_features_reduced_by_80_percent0,18,80,"default, cons.price.idx, nr.employed, month, job, previous, emp.var.rate, loan, cons.conf.idx, pdays, poutcome, y, age, housing, education, marital, day_of_week, contact"
RandomForest_17_features_reduced_by_0_percent0,17,0,"y, cons.price.idx, previous, nr.employed, euribor3m, age, cons.conf.idx, contact, education, pdays, job, housing, marital, default, loan, day_of_week, month"
RandomForest_17_features_reduced_by_20_percent0,17,20,"y, cons.price.idx, previous, nr.employed, euribor3m, age, cons.conf.idx, contact, education, pdays, job, housing, marital, default, loan, day_of_week, month"
RandomForest_17_features_reduced_by_40_percent0,17,40,"y, cons.price.idx, previous, nr.employed, euribor3m, age, cons.conf.idx, contact, education, pdays, job, housing, marital, default, loan, day_of_week, month"
RandomForest_17_features_reduced_by_60_percent0,17,60,"y, cons.price.idx, previous, nr.employed, euribor3m, age, cons.conf.idx, contact, education, pdays, job, housing, marital, default, loan, day_of_week, month"
RandomForest_17_features_reduced_by_80_percent0,17,80,"y, cons.price.idx, previous, nr.employed, euribor3m, age, cons.conf.idx, contact, education, pdays, job, housing, marital, default, loan, day_of_week, month"
RandomForest_16_features_reduced_by_0_percent0,16,0,"pdays, cons.conf.idx, day_of_week, contact, nr.employed, age, previous, month, job, poutcome, default, housing, euribor3m, emp.var.rate, marital, education"
RandomForest_16_features_reduced_by_20_percent0,16,20,"pdays, cons.conf.idx, day_of_week, contact, nr.employed, age, previous, month, job, poutcome, default, housing, euribor3m, emp.var.rate, marital, education"
RandomForest_16_features_reduced_by_40_percent0,16,40,"pdays, cons.conf.idx, day_of_week, contact, nr.employed, age, previous, month, job, poutcome, default, housing, euribor3m, emp.var.rate, marital, education"
RandomForest_16_features_reduced_by_60_percent0,16,60,"pdays, cons.conf.idx, day_of_week, contact, nr.employed, age, previous, month, job, poutcome, default, housing, euribor3m, emp.var.rate, marital, education"
RandomForest_16_features_reduced_by_80_percent0,16,80,"pdays, cons.conf.idx, day_of_week, contact, nr.employed, age, previous, month, job, poutcome, default, housing, euribor3m, emp.var.rate, marital, education"
RandomForest_15_features_reduced_by_0_percent0,15,0,"y, previous, age, marital, day_of_week, loan, nr.employed, contact, housing, pdays, cons.conf.idx, emp.var.rate, euribor3m, cons.price.idx, job"
RandomForest_15_features_reduced_by_20_percent0,15,20,"y, previous, age, marital, day_of_week, loan, nr.employed, contact, housing, pdays, cons.conf.idx, emp.var.rate, euribor3m, cons.price.idx, job"
RandomForest_15_features_reduced_by_40_percent0,15,40,"y, previous, age, marital, day_of_week, loan, nr.employed, contact, housing, pdays, cons.conf.idx, emp.var.rate, euribor3m, cons.price.idx, job"
RandomForest_15_features_reduced_by_60_percent0,15,60,"y, previous, age, marital, day_of_week, loan, nr.employed, contact, housing, pdays, cons.conf.idx, emp.var.rate, euribor3m, cons.price.idx, job"
RandomForest_15_features_reduced_by_80_percent0,15,80,"y, previous, age, marital, day_of_week, loan, nr.employed, contact, housing, pdays, cons.conf.idx, emp.var.rate, euribor3m, cons.price.idx, job"
RandomForest_14_features_reduced_by_0_percent0,14,0,"nr.employed, job, emp.var.rate, pdays, cons.conf.idx, day_of_week, previous, cons.price.idx, age, education, month, euribor3m, loan, contact"
RandomForest_14_features_reduced_by_20_percent0,14,20,"nr.employed, job, emp.var.rate, pdays, cons.conf.idx, day_of_week, previous, cons.price.idx, age, education, month, euribor3m, loan, contact"
RandomForest_14_features_reduced_by_40_percent0,14,40,"nr.employed, job, emp.var.rate, pdays, cons.conf.idx, day_of_week, previous, cons.price.idx, age, education, month, euribor3m, loan, contact"
RandomForest_14_features_reduced_by_60_percent0,14,60,"nr.employed, job, emp.var.rate, pdays, cons.conf.idx, day_of_week, previous, cons.price.idx, age, education, month, euribor3m, loan, contact"
RandomForest_14_features_reduced_by_80_percent0,14,80,"nr.employed, job, emp.var.rate, pdays, cons.conf.idx, day_of_week, previous, cons.price.idx, age, education, month, euribor3m, loan, contact"
RandomForest_13_features_reduced_by_0_percent0,13,0,"day_of_week, age, month, education, job, euribor3m, previous, contact, emp.var.rate, default, housing, cons.price.idx, pdays"
RandomForest_13_features_reduced_by_20_percent0,13,20,"day_of_week, age, month, education, job, euribor3m, previous, contact, emp.var.rate, default, housing, cons.price.idx, pdays"
RandomForest_13_features_reduced_by_40_percent0,13,40,"day_of_week, age, month, education, job, euribor3m, previous, contact, emp.var.rate, default, housing, cons.price.idx, pdays"
RandomForest_13_features_reduced_by_60_percent0,13,60,"day_of_week, age, month, education, job, euribor3m, previous, contact, emp.var.rate, default, housing, cons.price.idx, pdays"
RandomForest_13_features_reduced_by_80_percent0,13,80,"day_of_week, age, month, education, job, euribor3m, previous, contact, emp.var.rate, default, housing, cons.price.idx, pdays"
RandomForest_12_features_reduced_by_0_percent0,12,0,"default, pdays, y, age, marital, cons.conf.idx, loan, education, previous, day_of_week, emp.var.rate, contact"
RandomForest_12_features_reduced_by_20_percent0,12,20,"default, pdays, y, age, marital, cons.conf.idx, loan, education, previous, day_of_week, emp.var.rate, contact"
RandomForest_12_features_reduced_by_40_percent0,12,40,"default, pdays, y, age, marital, cons.conf.idx, loan, education, previous, day_of_week, emp.var.rate, contact"
RandomForest_12_features_reduced_by_60_percent0,12,60,"default, pdays, y, age, marital, cons.conf.idx, loan, education, previous, day_of_week, emp.var.rate, contact"
RandomForest_12_features_reduced_by_80_percent0,12,80,"default, pdays, y, age, marital, cons.conf.idx, loan, education, previous, day_of_week, emp.var.rate, contact"
RandomForest_11_features_reduced_by_0_percent0,11,0,"marital, euribor3m, contact, nr.employed, education, housing, pdays, day_of_week, job, y, loan"
RandomForest_11_features_reduced_by_20_percent0,11,20,"marital, euribor3m, contact, nr.employed, education, housing, pdays, day_of_week, job, y, loan"
RandomForest_11_features_reduced_by_40_percent0,11,40,"marital, euribor3m, contact, nr.employed, education, housing, pdays, day_of_week, job, y, loan"
RandomForest_11_features_reduced_by_60_percent0,11,60,"marital, euribor3m, contact, nr.employed, education, housing, pdays, day_of_week, job, y, loan"
RandomForest_11_features_reduced_by_80_percent0,11,80,"marital, euribor3m, contact, nr.employed, education, housing, pdays, day_of_week, job, y, loan"
RandomForest_10_features_reduced_by_0_percent0,10,0,"nr.employed, job, euribor3m, day_of_week, housing, poutcome, cons.price.idx, default, pdays, cons.conf.idx"
RandomForest_10_features_reduced_by_20_percent0,10,20,"nr.employed, job, euribor3m, day_of_week, housing, poutcome, cons.price.idx, default, pdays, cons.conf.idx"
RandomForest_10_features_reduced_by_40_percent0,10,40,"nr.employed, job, euribor3m, day_of_week, housing, poutcome, cons.price.idx, default, pdays, cons.conf.idx"
RandomForest_10_features_reduced_by_60_percent0,10,60,"nr.employed, job, euribor3m, day_of_week, housing, poutcome, cons.price.idx, default, pdays, cons.conf.idx"
RandomForest_10_features_reduced_by_80_percent0,10,80,"nr.employed, job, euribor3m, day_of_week, housing, poutcome, cons.price.idx, default, pdays, cons.conf.idx"
RandomForest_9_features_reduced_by_0_percent0,9,0,"poutcome, pdays, cons.price.idx, y, loan, education, job, month, default"
RandomForest_9_features_reduced_by_20_percent0,9,20,"poutcome, pdays, cons.price.idx, y, loan, education, job, month, default"
RandomForest_9_features_reduced_by_40_percent0,9,40,"poutcome, pdays, cons.price.idx, y, loan, education, job, month, default"
RandomForest_9_features_reduced_by_60_percent0,9,60,"poutcome, pdays, cons.price.idx, y, loan, education, job, month, default"
RandomForest_9_features_reduced_by_80_percent0,9,80,"poutcome, pdays, cons.price.idx, y, loan, education, job, month, default"
RandomForest_8_features_reduced_by_0_percent0,8,0,"default, job, pdays, education, day_of_week, nr.employed, marital, loan"
RandomForest_8_features_reduced_by_20_percent0,8,20,"default, job, pdays, education, day_of_week, nr.employed, marital, loan"
RandomForest_8_features_reduced_by_40_percent0,8,40,"default, job, pdays, education, day_of_week, nr.employed, marital, loan"
RandomForest_8_features_reduced_by_60_percent0,8,60,"default, job, pdays, education, day_of_week, nr.employed, marital, loan"
RandomForest_8_features_reduced_by_80_percent0,8,80,"default, job, pdays, education, day_of_week, nr.employed, marital, loan"
RandomForest_7_features_reduced_by_0_percent0,7,0,"month, poutcome, education, euribor3m, cons.conf.idx, emp.var.rate, y"
RandomForest_7_features_reduced_by_20_percent0,7,20,"month, poutcome, education, euribor3m, cons.conf.idx, emp.var.rate, y"
RandomForest_7_features_reduced_by_40_percent0,7,40,"month, poutcome, education, euribor3m, cons.conf.idx, emp.var.rate, y"
RandomForest_7_features_reduced_by_60_percent0,7,60,"month, poutcome, education, euribor3m, cons.conf.idx, emp.var.rate, y"
RandomForest_7_features_reduced_by_80_percent0,7,80,"month, poutcome, education, euribor3m, cons.conf.idx, emp.var.rate, y"
RandomForest_6_features_reduced_by_0_percent0,6,0,"previous, default, euribor3m, age, month, loan"
RandomForest_6_features_reduced_by_20_percent0,6,20,"previous, default, euribor3m, age, month, loan"
RandomForest_6_features_reduced_by_40_percent0,6,40,"previous, default, euribor3m, age, month, loan"
RandomForest_6_features_reduced_by_60_percent0,6,60,"previous, default, euribor3m, age, month, loan"
RandomForest_6_features_reduced_by_80_percent0,6,80,"previous, default, euribor3m, age, month, loan"
RandomForest_5_features_reduced_by_0_percent0,5,0,"poutcome, marital, month, housing, contact"
RandomForest_5_features_reduced_by_20_percent0,5,20,"poutcome, marital, month, housing, contact"
RandomForest_5_features_reduced_by_40_percent0,5,40,"poutcome, marital, month, housing, contact"
RandomForest_5_features_reduced_by_60_percent0,5,60,"poutcome, marital, month, housing, contact"
RandomForest_5_features_reduced_by_80_percent0,5,80,"poutcome, marital, month, housing, contact"
RandomForest_4_features_reduced_by_0_percent0,4,0,"default, loan, contact, education"
RandomForest_4_features_reduced_by_20_percent0,4,20,"default, loan, contact, education"
RandomForest_4_features_reduced_by_40_percent0,4,40,"default, loan, contact, education"
RandomForest_4_features_reduced_by_60_percent0,4,60,"default, loan, contact, education"
RandomForest_4_features_reduced_by_80_percent0,4,80,"default, loan, contact, education"
RandomForest_3_features_reduced_by_0_percent0,3,0,"pdays, poutcome, marital"
RandomForest_3_features_reduced_by_20_percent0,3,20,"pdays, poutcome, marital"
RandomForest_3_features_reduced_by_40_percent0,3,40,"pdays, poutcome, marital"
RandomForest_3_features_reduced_by_60_percent0,3,60,"pdays, poutcome, marital"
