project_name,num_features,reduction_percentage,feature_names
DecisionTree_19_features_reduced_by_0_percent0,19,0,"marital, education, cons.conf.idx, loan, nr.employed, month, emp.var.rate, age, job, day_of_week, housing, euribor3m, y, default, previous, contact, poutcome, cons.price.idx, pdays"
DecisionTree_19_features_reduced_by_20_percent0,19,20,"marital, education, cons.conf.idx, loan, nr.employed, month, emp.var.rate, age, job, day_of_week, housing, euribor3m, y, default, previous, contact, poutcome, cons.price.idx, pdays"
DecisionTree_19_features_reduced_by_40_percent0,19,40,"marital, education, cons.conf.idx, loan, nr.employed, month, emp.var.rate, age, job, day_of_week, housing, euribor3m, y, default, previous, contact, poutcome, cons.price.idx, pdays"
XGBoost_19_features_reduced_by_0_percent0,19,0,"euribor3m, pdays, day_of_week, month, job, housing, default, cons.conf.idx, loan, marital, nr.employed, poutcome, cons.price.idx, previous, contact, age, emp.var.rate, y, education"
XGBoost_19_features_reduced_by_20_percent0,19,20,"euribor3m, pdays, day_of_week, month, job, housing, default, cons.conf.idx, loan, marital, nr.employed, poutcome, cons.price.idx, previous, contact, age, emp.var.rate, y, education"
XGBoost_19_features_reduced_by_40_percent0,19,40,"euribor3m, pdays, day_of_week, month, job, housing, default, cons.conf.idx, loan, marital, nr.employed, poutcome, cons.price.idx, previous, contact, age, emp.var.rate, y, education"
XGBoost_19_features_reduced_by_60_percent0,19,60,"euribor3m, pdays, day_of_week, month, job, housing, default, cons.conf.idx, loan, marital, nr.employed, poutcome, cons.price.idx, previous, contact, age, emp.var.rate, y, education"
XGBoost_19_features_reduced_by_80_percent0,19,80,"euribor3m, pdays, day_of_week, month, job, housing, default, cons.conf.idx, loan, marital, nr.employed, poutcome, cons.price.idx, previous, contact, age, emp.var.rate, y, education"
XGBoost_18_features_reduced_by_0_percent0,18,0,"education, cons.price.idx, job, age, cons.conf.idx, month, poutcome, loan, contact, day_of_week, y, marital, housing, pdays, euribor3m, nr.employed, default, previous"
XGBoost_18_features_reduced_by_20_percent0,18,20,"education, cons.price.idx, job, age, cons.conf.idx, month, poutcome, loan, contact, day_of_week, y, marital, housing, pdays, euribor3m, nr.employed, default, previous"
XGBoost_18_features_reduced_by_40_percent0,18,40,"education, cons.price.idx, job, age, cons.conf.idx, month, poutcome, loan, contact, day_of_week, y, marital, housing, pdays, euribor3m, nr.employed, default, previous"
XGBoost_18_features_reduced_by_60_percent0,18,60,"education, cons.price.idx, job, age, cons.conf.idx, month, poutcome, loan, contact, day_of_week, y, marital, housing, pdays, euribor3m, nr.employed, default, previous"
XGBoost_18_features_reduced_by_80_percent0,18,80,"education, cons.price.idx, job, age, cons.conf.idx, month, poutcome, loan, contact, day_of_week, y, marital, housing, pdays, euribor3m, nr.employed, default, previous"
XGBoost_17_features_reduced_by_0_percent0,17,0,"emp.var.rate, y, cons.price.idx, default, education, loan, age, month, day_of_week, euribor3m, housing, previous, cons.conf.idx, poutcome, marital, job, nr.employed"
XGBoost_17_features_reduced_by_20_percent0,17,20,"emp.var.rate, y, cons.price.idx, default, education, loan, age, month, day_of_week, euribor3m, housing, previous, cons.conf.idx, poutcome, marital, job, nr.employed"
XGBoost_17_features_reduced_by_40_percent0,17,40,"emp.var.rate, y, cons.price.idx, default, education, loan, age, month, day_of_week, euribor3m, housing, previous, cons.conf.idx, poutcome, marital, job, nr.employed"
XGBoost_17_features_reduced_by_60_percent0,17,60,"emp.var.rate, y, cons.price.idx, default, education, loan, age, month, day_of_week, euribor3m, housing, previous, cons.conf.idx, poutcome, marital, job, nr.employed"
XGBoost_17_features_reduced_by_80_percent0,17,80,"emp.var.rate, y, cons.price.idx, default, education, loan, age, month, day_of_week, euribor3m, housing, previous, cons.conf.idx, poutcome, marital, job, nr.employed"
XGBoost_16_features_reduced_by_0_percent0,16,0,"default, loan, contact, housing, nr.employed, poutcome, month, cons.price.idx, y, euribor3m, education, emp.var.rate, cons.conf.idx, job, marital, previous"
XGBoost_16_features_reduced_by_20_percent0,16,20,"default, loan, contact, housing, nr.employed, poutcome, month, cons.price.idx, y, euribor3m, education, emp.var.rate, cons.conf.idx, job, marital, previous"
XGBoost_16_features_reduced_by_40_percent0,16,40,"default, loan, contact, housing, nr.employed, poutcome, month, cons.price.idx, y, euribor3m, education, emp.var.rate, cons.conf.idx, job, marital, previous"
