project_name,num_features,reduction_percentage,feature_names
DecisionTree_21_features_reduced_by_0_percent0,21,0,"PhysHlth, Age, Fruits, Smoker, HvyAlcoholConsump, HeartDiseaseorAttack, MentHlth, Veggies, HighChol, Sex, GenHlth, Education, CholCheck, Stroke, AnyHealthcare, NoDocbcCost, DiffWalk, HighBP, PhysActivity, Income, BMI"
DecisionTree_21_features_reduced_by_20_percent0,21,20,"PhysHlth, Age, Fruits, Smoker, HvyAlcoholConsump, HeartDiseaseorAttack, MentHlth, Veggies, HighChol, Sex, GenHlth, Education, CholCheck, Stroke, AnyHealthcare, NoDocbcCost, DiffWalk, HighBP, PhysActivity, Income, BMI"
DecisionTree_21_features_reduced_by_40_percent0,21,40,"PhysHlth, Age, Fruits, Smoker, HvyAlcoholConsump, HeartDiseaseorAttack, MentHlth, Veggies, HighChol, Sex, GenHlth, Education, CholCheck, Stroke, AnyHealthcare, NoDocbcCost, DiffWalk, HighBP, PhysActivity, Income, BMI"
DecisionTree_21_features_reduced_by_60_percent0,21,60,"PhysHlth, Age, Fruits, Smoker, HvyAlcoholConsump, HeartDiseaseorAttack, MentHlth, Veggies, HighChol, Sex, GenHlth, Education, CholCheck, Stroke, AnyHealthcare, NoDocbcCost, DiffWalk, HighBP, PhysActivity, Income, BMI"
DecisionTree_21_features_reduced_by_80_percent0,21,80,"PhysHlth, Age, Fruits, Smoker, HvyAlcoholConsump, HeartDiseaseorAttack, MentHlth, Veggies, HighChol, Sex, GenHlth, Education, CholCheck, Stroke, AnyHealthcare, NoDocbcCost, DiffWalk, HighBP, PhysActivity, Income, BMI"
DecisionTree_20_features_reduced_by_0_percent0,20,0,"NoDocbcCost, Sex, CholCheck, PhysActivity, GenHlth, Veggies, AnyHealthcare, MentHlth, DiffWalk, Income, HighChol, PhysHlth, HvyAlcoholConsump, HeartDiseaseorAttack, Age, Education, Smoker, Fruits, BMI, HighBP"
DecisionTree_20_features_reduced_by_20_percent0,20,20,"NoDocbcCost, Sex, CholCheck, PhysActivity, GenHlth, Veggies, AnyHealthcare, MentHlth, DiffWalk, Income, HighChol, PhysHlth, HvyAlcoholConsump, HeartDiseaseorAttack, Age, Education, Smoker, Fruits, BMI, HighBP"
DecisionTree_20_features_reduced_by_40_percent0,20,40,"NoDocbcCost, Sex, CholCheck, PhysActivity, GenHlth, Veggies, AnyHealthcare, MentHlth, DiffWalk, Income, HighChol, PhysHlth, HvyAlcoholConsump, HeartDiseaseorAttack, Age, Education, Smoker, Fruits, BMI, HighBP"
DecisionTree_20_features_reduced_by_60_percent0,20,60,"NoDocbcCost, Sex, CholCheck, PhysActivity, GenHlth, Veggies, AnyHealthcare, MentHlth, DiffWalk, Income, HighChol, PhysHlth, HvyAlcoholConsump, HeartDiseaseorAttack, Age, Education, Smoker, Fruits, BMI, HighBP"
DecisionTree_20_features_reduced_by_80_percent0,20,80,"NoDocbcCost, Sex, CholCheck, PhysActivity, GenHlth, Veggies, AnyHealthcare, MentHlth, DiffWalk, Income, HighChol, PhysHlth, HvyAlcoholConsump, HeartDiseaseorAttack, Age, Education, Smoker, Fruits, BMI, HighBP"
DecisionTree_19_features_reduced_by_0_percent0,19,0,"HvyAlcoholConsump, AnyHealthcare, Education, Stroke, MentHlth, Fruits, PhysActivity, GenHlth, HeartDiseaseorAttack, BMI, DiffWalk, CholCheck, Sex, Income, Smoker, Veggies, PhysHlth, HighBP, NoDocbcCost"
DecisionTree_19_features_reduced_by_20_percent0,19,20,"HvyAlcoholConsump, AnyHealthcare, Education, Stroke, MentHlth, Fruits, PhysActivity, GenHlth, HeartDiseaseorAttack, BMI, DiffWalk, CholCheck, Sex, Income, Smoker, Veggies, PhysHlth, HighBP, NoDocbcCost"
DecisionTree_19_features_reduced_by_40_percent0,19,40,"HvyAlcoholConsump, AnyHealthcare, Education, Stroke, MentHlth, Fruits, PhysActivity, GenHlth, HeartDiseaseorAttack, BMI, DiffWalk, CholCheck, Sex, Income, Smoker, Veggies, PhysHlth, HighBP, NoDocbcCost"
DecisionTree_19_features_reduced_by_60_percent0,19,60,"HvyAlcoholConsump, AnyHealthcare, Education, Stroke, MentHlth, Fruits, PhysActivity, GenHlth, HeartDiseaseorAttack, BMI, DiffWalk, CholCheck, Sex, Income, Smoker, Veggies, PhysHlth, HighBP, NoDocbcCost"
DecisionTree_19_features_reduced_by_80_percent0,19,80,"HvyAlcoholConsump, AnyHealthcare, Education, Stroke, MentHlth, Fruits, PhysActivity, GenHlth, HeartDiseaseorAttack, BMI, DiffWalk, CholCheck, Sex, Income, Smoker, Veggies, PhysHlth, HighBP, NoDocbcCost"
DecisionTree_18_features_reduced_by_0_percent0,18,0,"Smoker, PhysHlth, Veggies, Stroke, BMI, Education, DiffWalk, HeartDiseaseorAttack, Age, Sex, Fruits, MentHlth, HvyAlcoholConsump, PhysActivity, Income, AnyHealthcare, HighBP, HighChol"
DecisionTree_18_features_reduced_by_20_percent0,18,20,"Smoker, PhysHlth, Veggies, Stroke, BMI, Education, DiffWalk, HeartDiseaseorAttack, Age, Sex, Fruits, MentHlth, HvyAlcoholConsump, PhysActivity, Income, AnyHealthcare, HighBP, HighChol"
DecisionTree_18_features_reduced_by_40_percent0,18,40,"Smoker, PhysHlth, Veggies, Stroke, BMI, Education, DiffWalk, HeartDiseaseorAttack, Age, Sex, Fruits, MentHlth, HvyAlcoholConsump, PhysActivity, Income, AnyHealthcare, HighBP, HighChol"
