project_name,num_features,reduction_percentage,feature_names
KNeighborsClassifier_21_features_reduced_by_0_percent0,21,0,"HvyAlcoholConsump, PhysHlth, DiffWalk, HighBP, PhysActivity, Age, Fruits, Income, MentHlth, Sex, Veggies, HeartDiseaseorAttack, Education, Smoker, CholCheck, NoDocbcCost, BMI, HighChol, Stroke, GenHlth, AnyHealthcare"
KNeighborsClassifier_21_features_reduced_by_20_percent0,21,20,"HvyAlcoholConsump, PhysHlth, DiffWalk, HighBP, PhysActivity, Age, Fruits, Income, MentHlth, Sex, Veggies, HeartDiseaseorAttack, Education, Smoker, CholCheck, NoDocbcCost, BMI, HighChol, Stroke, GenHlth, AnyHealthcare"
KNeighborsClassifier_21_features_reduced_by_40_percent0,21,40,"HvyAlcoholConsump, PhysHlth, DiffWalk, HighBP, PhysActivity, Age, Fruits, Income, MentHlth, Sex, Veggies, HeartDiseaseorAttack, Education, Smoker, CholCheck, NoDocbcCost, BMI, HighChol, Stroke, GenHlth, AnyHealthcare"
KNeighborsClassifier_21_features_reduced_by_60_percent0,21,60,"HvyAlcoholConsump, PhysHlth, DiffWalk, HighBP, PhysActivity, Age, Fruits, Income, MentHlth, Sex, Veggies, HeartDiseaseorAttack, Education, Smoker, CholCheck, NoDocbcCost, BMI, HighChol, Stroke, GenHlth, AnyHealthcare"
KNeighborsClassifier_21_features_reduced_by_80_percent0,21,80,"HvyAlcoholConsump, PhysHlth, DiffWalk, HighBP, PhysActivity, Age, Fruits, Income, MentHlth, Sex, Veggies, HeartDiseaseorAttack, Education, Smoker, CholCheck, NoDocbcCost, BMI, HighChol, Stroke, GenHlth, AnyHealthcare"
KNeighborsClassifier_20_features_reduced_by_0_percent0,20,0,"NoDocbcCost, PhysHlth, CholCheck, AnyHealthcare, Veggies, HeartDiseaseorAttack, Fruits, Age, HighBP, BMI, DiffWalk, GenHlth, HighChol, Income, Stroke, MentHlth, Education, Smoker, HvyAlcoholConsump, PhysActivity"
KNeighborsClassifier_20_features_reduced_by_20_percent0,20,20,"NoDocbcCost, PhysHlth, CholCheck, AnyHealthcare, Veggies, HeartDiseaseorAttack, Fruits, Age, HighBP, BMI, DiffWalk, GenHlth, HighChol, Income, Stroke, MentHlth, Education, Smoker, HvyAlcoholConsump, PhysActivity"
KNeighborsClassifier_20_features_reduced_by_40_percent0,20,40,"NoDocbcCost, PhysHlth, CholCheck, AnyHealthcare, Veggies, HeartDiseaseorAttack, Fruits, Age, HighBP, BMI, DiffWalk, GenHlth, HighChol, Income, Stroke, MentHlth, Education, Smoker, HvyAlcoholConsump, PhysActivity"
KNeighborsClassifier_20_features_reduced_by_60_percent0,20,60,"NoDocbcCost, PhysHlth, CholCheck, AnyHealthcare, Veggies, HeartDiseaseorAttack, Fruits, Age, HighBP, BMI, DiffWalk, GenHlth, HighChol, Income, Stroke, MentHlth, Education, Smoker, HvyAlcoholConsump, PhysActivity"
KNeighborsClassifier_20_features_reduced_by_80_percent0,20,80,"NoDocbcCost, PhysHlth, CholCheck, AnyHealthcare, Veggies, HeartDiseaseorAttack, Fruits, Age, HighBP, BMI, DiffWalk, GenHlth, HighChol, Income, Stroke, MentHlth, Education, Smoker, HvyAlcoholConsump, PhysActivity"
KNeighborsClassifier_19_features_reduced_by_0_percent0,19,0,"HeartDiseaseorAttack, MentHlth, BMI, PhysActivity, CholCheck, Education, Smoker, HighBP, Stroke, AnyHealthcare, HvyAlcoholConsump, NoDocbcCost, GenHlth, DiffWalk, Fruits, Age, HighChol, PhysHlth, Veggies"
KNeighborsClassifier_19_features_reduced_by_20_percent0,19,20,"HeartDiseaseorAttack, MentHlth, BMI, PhysActivity, CholCheck, Education, Smoker, HighBP, Stroke, AnyHealthcare, HvyAlcoholConsump, NoDocbcCost, GenHlth, DiffWalk, Fruits, Age, HighChol, PhysHlth, Veggies"
KNeighborsClassifier_19_features_reduced_by_40_percent0,19,40,"HeartDiseaseorAttack, MentHlth, BMI, PhysActivity, CholCheck, Education, Smoker, HighBP, Stroke, AnyHealthcare, HvyAlcoholConsump, NoDocbcCost, GenHlth, DiffWalk, Fruits, Age, HighChol, PhysHlth, Veggies"
KNeighborsClassifier_19_features_reduced_by_60_percent0,19,60,"HeartDiseaseorAttack, MentHlth, BMI, PhysActivity, CholCheck, Education, Smoker, HighBP, Stroke, AnyHealthcare, HvyAlcoholConsump, NoDocbcCost, GenHlth, DiffWalk, Fruits, Age, HighChol, PhysHlth, Veggies"
KNeighborsClassifier_19_features_reduced_by_80_percent0,19,80,"HeartDiseaseorAttack, MentHlth, BMI, PhysActivity, CholCheck, Education, Smoker, HighBP, Stroke, AnyHealthcare, HvyAlcoholConsump, NoDocbcCost, GenHlth, DiffWalk, Fruits, Age, HighChol, PhysHlth, Veggies"
KNeighborsClassifier_18_features_reduced_by_0_percent0,18,0,"HighBP, Education, Smoker, HighChol, Income, Veggies, HeartDiseaseorAttack, AnyHealthcare, HvyAlcoholConsump, Fruits, BMI, PhysHlth, PhysActivity, Sex, Age, DiffWalk, NoDocbcCost, GenHlth"
KNeighborsClassifier_18_features_reduced_by_20_percent0,18,20,"HighBP, Education, Smoker, HighChol, Income, Veggies, HeartDiseaseorAttack, AnyHealthcare, HvyAlcoholConsump, Fruits, BMI, PhysHlth, PhysActivity, Sex, Age, DiffWalk, NoDocbcCost, GenHlth"
KNeighborsClassifier_18_features_reduced_by_40_percent0,18,40,"HighBP, Education, Smoker, HighChol, Income, Veggies, HeartDiseaseorAttack, AnyHealthcare, HvyAlcoholConsump, Fruits, BMI, PhysHlth, PhysActivity, Sex, Age, DiffWalk, NoDocbcCost, GenHlth"
KNeighborsClassifier_18_features_reduced_by_60_percent0,18,60,"HighBP, Education, Smoker, HighChol, Income, Veggies, HeartDiseaseorAttack, AnyHealthcare, HvyAlcoholConsump, Fruits, BMI, PhysHlth, PhysActivity, Sex, Age, DiffWalk, NoDocbcCost, GenHlth"
KNeighborsClassifier_18_features_reduced_by_80_percent0,18,80,"HighBP, Education, Smoker, HighChol, Income, Veggies, HeartDiseaseorAttack, AnyHealthcare, HvyAlcoholConsump, Fruits, BMI, PhysHlth, PhysActivity, Sex, Age, DiffWalk, NoDocbcCost, GenHlth"
KNeighborsClassifier_17_features_reduced_by_0_percent0,17,0,"NoDocbcCost, PhysActivity, BMI, HighChol, DiffWalk, HvyAlcoholConsump, CholCheck, Education, Stroke, HeartDiseaseorAttack, Age, Veggies, GenHlth, AnyHealthcare, Income, Fruits, HighBP"
KNeighborsClassifier_17_features_reduced_by_20_percent0,17,20,"NoDocbcCost, PhysActivity, BMI, HighChol, DiffWalk, HvyAlcoholConsump, CholCheck, Education, Stroke, HeartDiseaseorAttack, Age, Veggies, GenHlth, AnyHealthcare, Income, Fruits, HighBP"
KNeighborsClassifier_17_features_reduced_by_40_percent0,17,40,"NoDocbcCost, PhysActivity, BMI, HighChol, DiffWalk, HvyAlcoholConsump, CholCheck, Education, Stroke, HeartDiseaseorAttack, Age, Veggies, GenHlth, AnyHealthcare, Income, Fruits, HighBP"
KNeighborsClassifier_17_features_reduced_by_60_percent0,17,60,"NoDocbcCost, PhysActivity, BMI, HighChol, DiffWalk, HvyAlcoholConsump, CholCheck, Education, Stroke, HeartDiseaseorAttack, Age, Veggies, GenHlth, AnyHealthcare, Income, Fruits, HighBP"
KNeighborsClassifier_17_features_reduced_by_80_percent0,17,80,"NoDocbcCost, PhysActivity, BMI, HighChol, DiffWalk, HvyAlcoholConsump, CholCheck, Education, Stroke, HeartDiseaseorAttack, Age, Veggies, GenHlth, AnyHealthcare, Income, Fruits, HighBP"
KNeighborsClassifier_16_features_reduced_by_0_percent0,16,0,"Stroke, HvyAlcoholConsump, CholCheck, NoDocbcCost, GenHlth, HeartDiseaseorAttack, Fruits, AnyHealthcare, Sex, Smoker, Age, Veggies, MentHlth, PhysHlth, HighChol, Education"
KNeighborsClassifier_16_features_reduced_by_20_percent0,16,20,"Stroke, HvyAlcoholConsump, CholCheck, NoDocbcCost, GenHlth, HeartDiseaseorAttack, Fruits, AnyHealthcare, Sex, Smoker, Age, Veggies, MentHlth, PhysHlth, HighChol, Education"
KNeighborsClassifier_16_features_reduced_by_40_percent0,16,40,"Stroke, HvyAlcoholConsump, CholCheck, NoDocbcCost, GenHlth, HeartDiseaseorAttack, Fruits, AnyHealthcare, Sex, Smoker, Age, Veggies, MentHlth, PhysHlth, HighChol, Education"
KNeighborsClassifier_16_features_reduced_by_60_percent0,16,60,"Stroke, HvyAlcoholConsump, CholCheck, NoDocbcCost, GenHlth, HeartDiseaseorAttack, Fruits, AnyHealthcare, Sex, Smoker, Age, Veggies, MentHlth, PhysHlth, HighChol, Education"
KNeighborsClassifier_16_features_reduced_by_80_percent0,16,80,"Stroke, HvyAlcoholConsump, CholCheck, NoDocbcCost, GenHlth, HeartDiseaseorAttack, Fruits, AnyHealthcare, Sex, Smoker, Age, Veggies, MentHlth, PhysHlth, HighChol, Education"
KNeighborsClassifier_15_features_reduced_by_0_percent0,15,0,"PhysHlth, CholCheck, MentHlth, PhysActivity, HeartDiseaseorAttack, Income, Education, NoDocbcCost, Smoker, AnyHealthcare, Fruits, Sex, Veggies, HighBP, DiffWalk"
KNeighborsClassifier_15_features_reduced_by_20_percent0,15,20,"PhysHlth, CholCheck, MentHlth, PhysActivity, HeartDiseaseorAttack, Income, Education, NoDocbcCost, Smoker, AnyHealthcare, Fruits, Sex, Veggies, HighBP, DiffWalk"
KNeighborsClassifier_15_features_reduced_by_40_percent0,15,40,"PhysHlth, CholCheck, MentHlth, PhysActivity, HeartDiseaseorAttack, Income, Education, NoDocbcCost, Smoker, AnyHealthcare, Fruits, Sex, Veggies, HighBP, DiffWalk"
KNeighborsClassifier_15_features_reduced_by_60_percent0,15,60,"PhysHlth, CholCheck, MentHlth, PhysActivity, HeartDiseaseorAttack, Income, Education, NoDocbcCost, Smoker, AnyHealthcare, Fruits, Sex, Veggies, HighBP, DiffWalk"
