project_name,num_features,reduction_percentage,feature_names
LogisticRegression_21_features_reduced_by_0_percent0,21,0,"HvyAlcoholConsump, Fruits, Education, PhysActivity, DiffWalk, CholCheck, Smoker, Income, Stroke, Veggies, BMI, HeartDiseaseorAttack, HighChol, Sex, MentHlth, Age, HighBP, PhysHlth, AnyHealthcare, NoDocbcCost, GenHlth"
LogisticRegression_21_features_reduced_by_20_percent0,21,20,"HvyAlcoholConsump, Fruits, Education, PhysActivity, DiffWalk, CholCheck, Smoker, Income, Stroke, Veggies, BMI, HeartDiseaseorAttack, HighChol, Sex, MentHlth, Age, HighBP, PhysHlth, AnyHealthcare, NoDocbcCost, GenHlth"
LogisticRegression_21_features_reduced_by_40_percent0,21,40,"HvyAlcoholConsump, Fruits, Education, PhysActivity, DiffWalk, CholCheck, Smoker, Income, Stroke, Veggies, BMI, HeartDiseaseorAttack, HighChol, Sex, MentHlth, Age, HighBP, PhysHlth, AnyHealthcare, NoDocbcCost, GenHlth"
LogisticRegression_21_features_reduced_by_60_percent0,21,60,"HvyAlcoholConsump, Fruits, Education, PhysActivity, DiffWalk, CholCheck, Smoker, Income, Stroke, Veggies, BMI, HeartDiseaseorAttack, HighChol, Sex, MentHlth, Age, HighBP, PhysHlth, AnyHealthcare, NoDocbcCost, GenHlth"
LogisticRegression_21_features_reduced_by_80_percent0,21,80,"HvyAlcoholConsump, Fruits, Education, PhysActivity, DiffWalk, CholCheck, Smoker, Income, Stroke, Veggies, BMI, HeartDiseaseorAttack, HighChol, Sex, MentHlth, Age, HighBP, PhysHlth, AnyHealthcare, NoDocbcCost, GenHlth"
LogisticRegression_20_features_reduced_by_0_percent0,20,0,"GenHlth, Sex, HeartDiseaseorAttack, NoDocbcCost, DiffWalk, Fruits, CholCheck, AnyHealthcare, Veggies, Stroke, PhysActivity, HighChol, HighBP, MentHlth, Age, Income, BMI, HvyAlcoholConsump, Smoker, PhysHlth"
LogisticRegression_20_features_reduced_by_20_percent0,20,20,"GenHlth, Sex, HeartDiseaseorAttack, NoDocbcCost, DiffWalk, Fruits, CholCheck, AnyHealthcare, Veggies, Stroke, PhysActivity, HighChol, HighBP, MentHlth, Age, Income, BMI, HvyAlcoholConsump, Smoker, PhysHlth"
LogisticRegression_20_features_reduced_by_40_percent0,20,40,"GenHlth, Sex, HeartDiseaseorAttack, NoDocbcCost, DiffWalk, Fruits, CholCheck, AnyHealthcare, Veggies, Stroke, PhysActivity, HighChol, HighBP, MentHlth, Age, Income, BMI, HvyAlcoholConsump, Smoker, PhysHlth"
LogisticRegression_20_features_reduced_by_60_percent0,20,60,"GenHlth, Sex, HeartDiseaseorAttack, NoDocbcCost, DiffWalk, Fruits, CholCheck, AnyHealthcare, Veggies, Stroke, PhysActivity, HighChol, HighBP, MentHlth, Age, Income, BMI, HvyAlcoholConsump, Smoker, PhysHlth"
LogisticRegression_20_features_reduced_by_80_percent0,20,80,"GenHlth, Sex, HeartDiseaseorAttack, NoDocbcCost, DiffWalk, Fruits, CholCheck, AnyHealthcare, Veggies, Stroke, PhysActivity, HighChol, HighBP, MentHlth, Age, Income, BMI, HvyAlcoholConsump, Smoker, PhysHlth"
LogisticRegression_19_features_reduced_by_0_percent0,19,0,"Fruits, Age, DiffWalk, Stroke, Income, HighChol, GenHlth, BMI, Veggies, Smoker, CholCheck, MentHlth, PhysHlth, Education, PhysActivity, Sex, NoDocbcCost, HeartDiseaseorAttack, HvyAlcoholConsump"
LogisticRegression_19_features_reduced_by_20_percent0,19,20,"Fruits, Age, DiffWalk, Stroke, Income, HighChol, GenHlth, BMI, Veggies, Smoker, CholCheck, MentHlth, PhysHlth, Education, PhysActivity, Sex, NoDocbcCost, HeartDiseaseorAttack, HvyAlcoholConsump"
LogisticRegression_19_features_reduced_by_40_percent0,19,40,"Fruits, Age, DiffWalk, Stroke, Income, HighChol, GenHlth, BMI, Veggies, Smoker, CholCheck, MentHlth, PhysHlth, Education, PhysActivity, Sex, NoDocbcCost, HeartDiseaseorAttack, HvyAlcoholConsump"
LogisticRegression_19_features_reduced_by_60_percent0,19,60,"Fruits, Age, DiffWalk, Stroke, Income, HighChol, GenHlth, BMI, Veggies, Smoker, CholCheck, MentHlth, PhysHlth, Education, PhysActivity, Sex, NoDocbcCost, HeartDiseaseorAttack, HvyAlcoholConsump"
LogisticRegression_19_features_reduced_by_80_percent0,19,80,"Fruits, Age, DiffWalk, Stroke, Income, HighChol, GenHlth, BMI, Veggies, Smoker, CholCheck, MentHlth, PhysHlth, Education, PhysActivity, Sex, NoDocbcCost, HeartDiseaseorAttack, HvyAlcoholConsump"
LogisticRegression_18_features_reduced_by_0_percent0,18,0,"HvyAlcoholConsump, AnyHealthcare, PhysActivity, Age, HighBP, Fruits, GenHlth, DiffWalk, Stroke, Education, Income, HeartDiseaseorAttack, NoDocbcCost, CholCheck, Smoker, MentHlth, BMI, HighChol"
LogisticRegression_18_features_reduced_by_20_percent0,18,20,"HvyAlcoholConsump, AnyHealthcare, PhysActivity, Age, HighBP, Fruits, GenHlth, DiffWalk, Stroke, Education, Income, HeartDiseaseorAttack, NoDocbcCost, CholCheck, Smoker, MentHlth, BMI, HighChol"
LogisticRegression_18_features_reduced_by_40_percent0,18,40,"HvyAlcoholConsump, AnyHealthcare, PhysActivity, Age, HighBP, Fruits, GenHlth, DiffWalk, Stroke, Education, Income, HeartDiseaseorAttack, NoDocbcCost, CholCheck, Smoker, MentHlth, BMI, HighChol"
