project_name,num_features,reduction_percentage,feature_names
XGBoost_21_features_reduced_by_0_percent0,21,0,"HighBP, DiffWalk, PhysActivity, Veggies, PhysHlth, AnyHealthcare, HvyAlcoholConsump, CholCheck, BMI, Income, NoDocbcCost, MentHlth, GenHlth, Fruits, Stroke, HeartDiseaseorAttack, Smoker, Sex, HighChol, Education, Age"
XGBoost_21_features_reduced_by_20_percent0,21,20,"HighBP, DiffWalk, PhysActivity, Veggies, PhysHlth, AnyHealthcare, HvyAlcoholConsump, CholCheck, BMI, Income, NoDocbcCost, MentHlth, GenHlth, Fruits, Stroke, HeartDiseaseorAttack, Smoker, Sex, HighChol, Education, Age"
XGBoost_21_features_reduced_by_40_percent0,21,40,"HighBP, DiffWalk, PhysActivity, Veggies, PhysHlth, AnyHealthcare, HvyAlcoholConsump, CholCheck, BMI, Income, NoDocbcCost, MentHlth, GenHlth, Fruits, Stroke, HeartDiseaseorAttack, Smoker, Sex, HighChol, Education, Age"
XGBoost_21_features_reduced_by_60_percent0,21,60,"HighBP, DiffWalk, PhysActivity, Veggies, PhysHlth, AnyHealthcare, HvyAlcoholConsump, CholCheck, BMI, Income, NoDocbcCost, MentHlth, GenHlth, Fruits, Stroke, HeartDiseaseorAttack, Smoker, Sex, HighChol, Education, Age"
XGBoost_21_features_reduced_by_80_percent0,21,80,"HighBP, DiffWalk, PhysActivity, Veggies, PhysHlth, AnyHealthcare, HvyAlcoholConsump, CholCheck, BMI, Income, NoDocbcCost, MentHlth, GenHlth, Fruits, Stroke, HeartDiseaseorAttack, Smoker, Sex, HighChol, Education, Age"
XGBoost_20_features_reduced_by_0_percent0,20,0,"Stroke, NoDocbcCost, HeartDiseaseorAttack, Education, PhysActivity, Income, PhysHlth, HighBP, GenHlth, Fruits, Smoker, Veggies, MentHlth, Age, HvyAlcoholConsump, AnyHealthcare, DiffWalk, BMI, Sex, HighChol"
XGBoost_20_features_reduced_by_20_percent0,20,20,"Stroke, NoDocbcCost, HeartDiseaseorAttack, Education, PhysActivity, Income, PhysHlth, HighBP, GenHlth, Fruits, Smoker, Veggies, MentHlth, Age, HvyAlcoholConsump, AnyHealthcare, DiffWalk, BMI, Sex, HighChol"
XGBoost_20_features_reduced_by_40_percent0,20,40,"Stroke, NoDocbcCost, HeartDiseaseorAttack, Education, PhysActivity, Income, PhysHlth, HighBP, GenHlth, Fruits, Smoker, Veggies, MentHlth, Age, HvyAlcoholConsump, AnyHealthcare, DiffWalk, BMI, Sex, HighChol"
XGBoost_20_features_reduced_by_60_percent0,20,60,"Stroke, NoDocbcCost, HeartDiseaseorAttack, Education, PhysActivity, Income, PhysHlth, HighBP, GenHlth, Fruits, Smoker, Veggies, MentHlth, Age, HvyAlcoholConsump, AnyHealthcare, DiffWalk, BMI, Sex, HighChol"
XGBoost_20_features_reduced_by_80_percent0,20,80,"Stroke, NoDocbcCost, HeartDiseaseorAttack, Education, PhysActivity, Income, PhysHlth, HighBP, GenHlth, Fruits, Smoker, Veggies, MentHlth, Age, HvyAlcoholConsump, AnyHealthcare, DiffWalk, BMI, Sex, HighChol"
XGBoost_19_features_reduced_by_0_percent0,19,0,"NoDocbcCost, HighBP, DiffWalk, PhysHlth, BMI, HeartDiseaseorAttack, Age, Income, Veggies, Fruits, Education, Sex, Smoker, PhysActivity, HvyAlcoholConsump, Stroke, MentHlth, HighChol, CholCheck"
XGBoost_19_features_reduced_by_20_percent0,19,20,"NoDocbcCost, HighBP, DiffWalk, PhysHlth, BMI, HeartDiseaseorAttack, Age, Income, Veggies, Fruits, Education, Sex, Smoker, PhysActivity, HvyAlcoholConsump, Stroke, MentHlth, HighChol, CholCheck"
