project_name,num_features,reduction_percentage,feature_names
GaussianNB_17_features_reduced_by_0_percent0,17,0,"BMI, AlcoholDrinking, PhysicalHealth, Stroke, Asthma, KidneyDisease, SleepTime, SkinCancer, Sex, MentalHealth, PhysicalActivity, AgeCategory, Diabetic, GenHealth, Smoking, DiffWalking, Race"
GaussianNB_17_features_reduced_by_20_percent0,17,20,"BMI, AlcoholDrinking, PhysicalHealth, Stroke, Asthma, KidneyDisease, SleepTime, SkinCancer, Sex, MentalHealth, PhysicalActivity, AgeCategory, Diabetic, GenHealth, Smoking, DiffWalking, Race"
GaussianNB_17_features_reduced_by_40_percent0,17,40,"BMI, AlcoholDrinking, PhysicalHealth, Stroke, Asthma, KidneyDisease, SleepTime, SkinCancer, Sex, MentalHealth, PhysicalActivity, AgeCategory, Diabetic, GenHealth, Smoking, DiffWalking, Race"
GaussianNB_17_features_reduced_by_60_percent0,17,60,"BMI, AlcoholDrinking, PhysicalHealth, Stroke, Asthma, KidneyDisease, SleepTime, SkinCancer, Sex, MentalHealth, PhysicalActivity, AgeCategory, Diabetic, GenHealth, Smoking, DiffWalking, Race"
GaussianNB_17_features_reduced_by_80_percent0,17,80,"BMI, AlcoholDrinking, PhysicalHealth, Stroke, Asthma, KidneyDisease, SleepTime, SkinCancer, Sex, MentalHealth, PhysicalActivity, AgeCategory, Diabetic, GenHealth, Smoking, DiffWalking, Race"
GaussianNB_16_features_reduced_by_0_percent0,16,0,"PhysicalActivity, AlcoholDrinking, Smoking, Race, BMI, KidneyDisease, AgeCategory, GenHealth, Diabetic, Stroke, DiffWalking, PhysicalHealth, SleepTime, SkinCancer, MentalHealth, Sex"
GaussianNB_16_features_reduced_by_20_percent0,16,20,"PhysicalActivity, AlcoholDrinking, Smoking, Race, BMI, KidneyDisease, AgeCategory, GenHealth, Diabetic, Stroke, DiffWalking, PhysicalHealth, SleepTime, SkinCancer, MentalHealth, Sex"
GaussianNB_16_features_reduced_by_40_percent0,16,40,"PhysicalActivity, AlcoholDrinking, Smoking, Race, BMI, KidneyDisease, AgeCategory, GenHealth, Diabetic, Stroke, DiffWalking, PhysicalHealth, SleepTime, SkinCancer, MentalHealth, Sex"
GaussianNB_16_features_reduced_by_60_percent0,16,60,"PhysicalActivity, AlcoholDrinking, Smoking, Race, BMI, KidneyDisease, AgeCategory, GenHealth, Diabetic, Stroke, DiffWalking, PhysicalHealth, SleepTime, SkinCancer, MentalHealth, Sex"
GaussianNB_16_features_reduced_by_80_percent0,16,80,"PhysicalActivity, AlcoholDrinking, Smoking, Race, BMI, KidneyDisease, AgeCategory, GenHealth, Diabetic, Stroke, DiffWalking, PhysicalHealth, SleepTime, SkinCancer, MentalHealth, Sex"
GaussianNB_15_features_reduced_by_0_percent0,15,0,"Sex, Diabetic, AlcoholDrinking, PhysicalHealth, PhysicalActivity, SleepTime, AgeCategory, Asthma, Smoking, Stroke, BMI, KidneyDisease, SkinCancer, Race, DiffWalking"
GaussianNB_15_features_reduced_by_20_percent0,15,20,"Sex, Diabetic, AlcoholDrinking, PhysicalHealth, PhysicalActivity, SleepTime, AgeCategory, Asthma, Smoking, Stroke, BMI, KidneyDisease, SkinCancer, Race, DiffWalking"
GaussianNB_15_features_reduced_by_40_percent0,15,40,"Sex, Diabetic, AlcoholDrinking, PhysicalHealth, PhysicalActivity, SleepTime, AgeCategory, Asthma, Smoking, Stroke, BMI, KidneyDisease, SkinCancer, Race, DiffWalking"
GaussianNB_15_features_reduced_by_60_percent0,15,60,"Sex, Diabetic, AlcoholDrinking, PhysicalHealth, PhysicalActivity, SleepTime, AgeCategory, Asthma, Smoking, Stroke, BMI, KidneyDisease, SkinCancer, Race, DiffWalking"
GaussianNB_15_features_reduced_by_80_percent0,15,80,"Sex, Diabetic, AlcoholDrinking, PhysicalHealth, PhysicalActivity, SleepTime, AgeCategory, Asthma, Smoking, Stroke, BMI, KidneyDisease, SkinCancer, Race, DiffWalking"
GaussianNB_14_features_reduced_by_0_percent0,14,0,"Sex, KidneyDisease, Smoking, MentalHealth, Stroke, AgeCategory, Diabetic, AlcoholDrinking, Asthma, SkinCancer, BMI, Race, DiffWalking, PhysicalActivity"
GaussianNB_14_features_reduced_by_20_percent0,14,20,"Sex, KidneyDisease, Smoking, MentalHealth, Stroke, AgeCategory, Diabetic, AlcoholDrinking, Asthma, SkinCancer, BMI, Race, DiffWalking, PhysicalActivity"
GaussianNB_14_features_reduced_by_40_percent0,14,40,"Sex, KidneyDisease, Smoking, MentalHealth, Stroke, AgeCategory, Diabetic, AlcoholDrinking, Asthma, SkinCancer, BMI, Race, DiffWalking, PhysicalActivity"
GaussianNB_14_features_reduced_by_60_percent0,14,60,"Sex, KidneyDisease, Smoking, MentalHealth, Stroke, AgeCategory, Diabetic, AlcoholDrinking, Asthma, SkinCancer, BMI, Race, DiffWalking, PhysicalActivity"
GaussianNB_14_features_reduced_by_80_percent0,14,80,"Sex, KidneyDisease, Smoking, MentalHealth, Stroke, AgeCategory, Diabetic, AlcoholDrinking, Asthma, SkinCancer, BMI, Race, DiffWalking, PhysicalActivity"
GaussianNB_13_features_reduced_by_0_percent0,13,0,"Diabetic, Sex, SleepTime, AlcoholDrinking, Stroke, SkinCancer, MentalHealth, PhysicalHealth, Race, BMI, DiffWalking, KidneyDisease, AgeCategory"
GaussianNB_13_features_reduced_by_20_percent0,13,20,"Diabetic, Sex, SleepTime, AlcoholDrinking, Stroke, SkinCancer, MentalHealth, PhysicalHealth, Race, BMI, DiffWalking, KidneyDisease, AgeCategory"
GaussianNB_13_features_reduced_by_40_percent0,13,40,"Diabetic, Sex, SleepTime, AlcoholDrinking, Stroke, SkinCancer, MentalHealth, PhysicalHealth, Race, BMI, DiffWalking, KidneyDisease, AgeCategory"
GaussianNB_13_features_reduced_by_60_percent0,13,60,"Diabetic, Sex, SleepTime, AlcoholDrinking, Stroke, SkinCancer, MentalHealth, PhysicalHealth, Race, BMI, DiffWalking, KidneyDisease, AgeCategory"
GaussianNB_13_features_reduced_by_80_percent0,13,80,"Diabetic, Sex, SleepTime, AlcoholDrinking, Stroke, SkinCancer, MentalHealth, PhysicalHealth, Race, BMI, DiffWalking, KidneyDisease, AgeCategory"
