project_name,num_features,reduction_percentage,feature_names
RandomForest_17_features_reduced_by_0_percent0,17,0,"MentalHealth, PhysicalActivity, AlcoholDrinking, Sex, SleepTime, KidneyDisease, Stroke, PhysicalHealth, Asthma, BMI, AgeCategory, DiffWalking, Smoking, GenHealth, Diabetic, Race, SkinCancer"
RandomForest_17_features_reduced_by_20_percent0,17,20,"MentalHealth, PhysicalActivity, AlcoholDrinking, Sex, SleepTime, KidneyDisease, Stroke, PhysicalHealth, Asthma, BMI, AgeCategory, DiffWalking, Smoking, GenHealth, Diabetic, Race, SkinCancer"
RandomForest_17_features_reduced_by_40_percent0,17,40,"MentalHealth, PhysicalActivity, AlcoholDrinking, Sex, SleepTime, KidneyDisease, Stroke, PhysicalHealth, Asthma, BMI, AgeCategory, DiffWalking, Smoking, GenHealth, Diabetic, Race, SkinCancer"
RandomForest_17_features_reduced_by_60_percent0,17,60,"MentalHealth, PhysicalActivity, AlcoholDrinking, Sex, SleepTime, KidneyDisease, Stroke, PhysicalHealth, Asthma, BMI, AgeCategory, DiffWalking, Smoking, GenHealth, Diabetic, Race, SkinCancer"
RandomForest_17_features_reduced_by_80_percent0,17,80,"MentalHealth, PhysicalActivity, AlcoholDrinking, Sex, SleepTime, KidneyDisease, Stroke, PhysicalHealth, Asthma, BMI, AgeCategory, DiffWalking, Smoking, GenHealth, Diabetic, Race, SkinCancer"
RandomForest_16_features_reduced_by_0_percent0,16,0,"SleepTime, Smoking, Asthma, GenHealth, AgeCategory, Stroke, PhysicalHealth, MentalHealth, DiffWalking, BMI, SkinCancer, KidneyDisease, Race, AlcoholDrinking, PhysicalActivity, Diabetic"
RandomForest_16_features_reduced_by_20_percent0,16,20,"SleepTime, Smoking, Asthma, GenHealth, AgeCategory, Stroke, PhysicalHealth, MentalHealth, DiffWalking, BMI, SkinCancer, KidneyDisease, Race, AlcoholDrinking, PhysicalActivity, Diabetic"
RandomForest_16_features_reduced_by_40_percent0,16,40,"SleepTime, Smoking, Asthma, GenHealth, AgeCategory, Stroke, PhysicalHealth, MentalHealth, DiffWalking, BMI, SkinCancer, KidneyDisease, Race, AlcoholDrinking, PhysicalActivity, Diabetic"
RandomForest_16_features_reduced_by_60_percent0,16,60,"SleepTime, Smoking, Asthma, GenHealth, AgeCategory, Stroke, PhysicalHealth, MentalHealth, DiffWalking, BMI, SkinCancer, KidneyDisease, Race, AlcoholDrinking, PhysicalActivity, Diabetic"
RandomForest_16_features_reduced_by_80_percent0,16,80,"SleepTime, Smoking, Asthma, GenHealth, AgeCategory, Stroke, PhysicalHealth, MentalHealth, DiffWalking, BMI, SkinCancer, KidneyDisease, Race, AlcoholDrinking, PhysicalActivity, Diabetic"
RandomForest_15_features_reduced_by_0_percent0,15,0,"KidneyDisease, GenHealth, AgeCategory, AlcoholDrinking, DiffWalking, Stroke, Asthma, SkinCancer, Diabetic, BMI, MentalHealth, PhysicalHealth, Race, SleepTime, Smoking"
RandomForest_15_features_reduced_by_20_percent0,15,20,"KidneyDisease, GenHealth, AgeCategory, AlcoholDrinking, DiffWalking, Stroke, Asthma, SkinCancer, Diabetic, BMI, MentalHealth, PhysicalHealth, Race, SleepTime, Smoking"
RandomForest_15_features_reduced_by_40_percent0,15,40,"KidneyDisease, GenHealth, AgeCategory, AlcoholDrinking, DiffWalking, Stroke, Asthma, SkinCancer, Diabetic, BMI, MentalHealth, PhysicalHealth, Race, SleepTime, Smoking"
RandomForest_15_features_reduced_by_60_percent0,15,60,"KidneyDisease, GenHealth, AgeCategory, AlcoholDrinking, DiffWalking, Stroke, Asthma, SkinCancer, Diabetic, BMI, MentalHealth, PhysicalHealth, Race, SleepTime, Smoking"
RandomForest_15_features_reduced_by_80_percent0,15,80,"KidneyDisease, GenHealth, AgeCategory, AlcoholDrinking, DiffWalking, Stroke, Asthma, SkinCancer, Diabetic, BMI, MentalHealth, PhysicalHealth, Race, SleepTime, Smoking"
RandomForest_14_features_reduced_by_0_percent0,14,0,"AlcoholDrinking, Race, Sex, Smoking, PhysicalHealth, Asthma, GenHealth, SleepTime, KidneyDisease, AgeCategory, BMI, MentalHealth, Stroke, PhysicalActivity"
RandomForest_14_features_reduced_by_20_percent0,14,20,"AlcoholDrinking, Race, Sex, Smoking, PhysicalHealth, Asthma, GenHealth, SleepTime, KidneyDisease, AgeCategory, BMI, MentalHealth, Stroke, PhysicalActivity"
RandomForest_14_features_reduced_by_40_percent0,14,40,"AlcoholDrinking, Race, Sex, Smoking, PhysicalHealth, Asthma, GenHealth, SleepTime, KidneyDisease, AgeCategory, BMI, MentalHealth, Stroke, PhysicalActivity"
RandomForest_14_features_reduced_by_60_percent0,14,60,"AlcoholDrinking, Race, Sex, Smoking, PhysicalHealth, Asthma, GenHealth, SleepTime, KidneyDisease, AgeCategory, BMI, MentalHealth, Stroke, PhysicalActivity"
RandomForest_14_features_reduced_by_80_percent0,14,80,"AlcoholDrinking, Race, Sex, Smoking, PhysicalHealth, Asthma, GenHealth, SleepTime, KidneyDisease, AgeCategory, BMI, MentalHealth, Stroke, PhysicalActivity"
RandomForest_13_features_reduced_by_0_percent0,13,0,"DiffWalking, BMI, Asthma, Smoking, MentalHealth, SleepTime, KidneyDisease, Diabetic, GenHealth, AlcoholDrinking, Stroke, AgeCategory, Race"
RandomForest_13_features_reduced_by_20_percent0,13,20,"DiffWalking, BMI, Asthma, Smoking, MentalHealth, SleepTime, KidneyDisease, Diabetic, GenHealth, AlcoholDrinking, Stroke, AgeCategory, Race"
RandomForest_13_features_reduced_by_40_percent0,13,40,"DiffWalking, BMI, Asthma, Smoking, MentalHealth, SleepTime, KidneyDisease, Diabetic, GenHealth, AlcoholDrinking, Stroke, AgeCategory, Race"
RandomForest_13_features_reduced_by_60_percent0,13,60,"DiffWalking, BMI, Asthma, Smoking, MentalHealth, SleepTime, KidneyDisease, Diabetic, GenHealth, AlcoholDrinking, Stroke, AgeCategory, Race"
RandomForest_13_features_reduced_by_80_percent0,13,80,"DiffWalking, BMI, Asthma, Smoking, MentalHealth, SleepTime, KidneyDisease, Diabetic, GenHealth, AlcoholDrinking, Stroke, AgeCategory, Race"
RandomForest_12_features_reduced_by_0_percent0,12,0,"PhysicalActivity, Asthma, MentalHealth, BMI, AgeCategory, KidneyDisease, Diabetic, SkinCancer, PhysicalHealth, Race, SleepTime, Smoking"
RandomForest_12_features_reduced_by_20_percent0,12,20,"PhysicalActivity, Asthma, MentalHealth, BMI, AgeCategory, KidneyDisease, Diabetic, SkinCancer, PhysicalHealth, Race, SleepTime, Smoking"
RandomForest_12_features_reduced_by_40_percent0,12,40,"PhysicalActivity, Asthma, MentalHealth, BMI, AgeCategory, KidneyDisease, Diabetic, SkinCancer, PhysicalHealth, Race, SleepTime, Smoking"
RandomForest_12_features_reduced_by_60_percent0,12,60,"PhysicalActivity, Asthma, MentalHealth, BMI, AgeCategory, KidneyDisease, Diabetic, SkinCancer, PhysicalHealth, Race, SleepTime, Smoking"
RandomForest_12_features_reduced_by_80_percent0,12,80,"PhysicalActivity, Asthma, MentalHealth, BMI, AgeCategory, KidneyDisease, Diabetic, SkinCancer, PhysicalHealth, Race, SleepTime, Smoking"
RandomForest_11_features_reduced_by_0_percent0,11,0,"KidneyDisease, PhysicalHealth, SleepTime, BMI, Diabetic, Sex, SkinCancer, Smoking, AlcoholDrinking, DiffWalking, AgeCategory"
RandomForest_11_features_reduced_by_20_percent0,11,20,"KidneyDisease, PhysicalHealth, SleepTime, BMI, Diabetic, Sex, SkinCancer, Smoking, AlcoholDrinking, DiffWalking, AgeCategory"
RandomForest_11_features_reduced_by_40_percent0,11,40,"KidneyDisease, PhysicalHealth, SleepTime, BMI, Diabetic, Sex, SkinCancer, Smoking, AlcoholDrinking, DiffWalking, AgeCategory"
RandomForest_11_features_reduced_by_60_percent0,11,60,"KidneyDisease, PhysicalHealth, SleepTime, BMI, Diabetic, Sex, SkinCancer, Smoking, AlcoholDrinking, DiffWalking, AgeCategory"
RandomForest_11_features_reduced_by_80_percent0,11,80,"KidneyDisease, PhysicalHealth, SleepTime, BMI, Diabetic, Sex, SkinCancer, Smoking, AlcoholDrinking, DiffWalking, AgeCategory"
RandomForest_10_features_reduced_by_0_percent0,10,0,"KidneyDisease, Race, MentalHealth, SleepTime, Sex, Diabetic, PhysicalHealth, DiffWalking, SkinCancer, Stroke"
RandomForest_10_features_reduced_by_20_percent0,10,20,"KidneyDisease, Race, MentalHealth, SleepTime, Sex, Diabetic, PhysicalHealth, DiffWalking, SkinCancer, Stroke"
RandomForest_10_features_reduced_by_40_percent0,10,40,"KidneyDisease, Race, MentalHealth, SleepTime, Sex, Diabetic, PhysicalHealth, DiffWalking, SkinCancer, Stroke"
RandomForest_10_features_reduced_by_60_percent0,10,60,"KidneyDisease, Race, MentalHealth, SleepTime, Sex, Diabetic, PhysicalHealth, DiffWalking, SkinCancer, Stroke"
RandomForest_10_features_reduced_by_80_percent0,10,80,"KidneyDisease, Race, MentalHealth, SleepTime, Sex, Diabetic, PhysicalHealth, DiffWalking, SkinCancer, Stroke"
RandomForest_9_features_reduced_by_0_percent0,9,0,"Sex, Asthma, SkinCancer, PhysicalHealth, GenHealth, DiffWalking, SleepTime, AgeCategory, Stroke"
RandomForest_9_features_reduced_by_20_percent0,9,20,"Sex, Asthma, SkinCancer, PhysicalHealth, GenHealth, DiffWalking, SleepTime, AgeCategory, Stroke"
RandomForest_9_features_reduced_by_40_percent0,9,40,"Sex, Asthma, SkinCancer, PhysicalHealth, GenHealth, DiffWalking, SleepTime, AgeCategory, Stroke"
RandomForest_9_features_reduced_by_60_percent0,9,60,"Sex, Asthma, SkinCancer, PhysicalHealth, GenHealth, DiffWalking, SleepTime, AgeCategory, Stroke"
RandomForest_9_features_reduced_by_80_percent0,9,80,"Sex, Asthma, SkinCancer, PhysicalHealth, GenHealth, DiffWalking, SleepTime, AgeCategory, Stroke"
RandomForest_8_features_reduced_by_0_percent0,8,0,"Diabetic, MentalHealth, AgeCategory, AlcoholDrinking, Race, SleepTime, KidneyDisease, PhysicalHealth"
RandomForest_8_features_reduced_by_20_percent0,8,20,"Diabetic, MentalHealth, AgeCategory, AlcoholDrinking, Race, SleepTime, KidneyDisease, PhysicalHealth"
RandomForest_8_features_reduced_by_40_percent0,8,40,"Diabetic, MentalHealth, AgeCategory, AlcoholDrinking, Race, SleepTime, KidneyDisease, PhysicalHealth"
RandomForest_8_features_reduced_by_60_percent0,8,60,"Diabetic, MentalHealth, AgeCategory, AlcoholDrinking, Race, SleepTime, KidneyDisease, PhysicalHealth"
RandomForest_8_features_reduced_by_80_percent0,8,80,"Diabetic, MentalHealth, AgeCategory, AlcoholDrinking, Race, SleepTime, KidneyDisease, PhysicalHealth"
RandomForest_7_features_reduced_by_0_percent0,7,0,"KidneyDisease, SleepTime, Sex, BMI, Diabetic, MentalHealth, AgeCategory"
RandomForest_7_features_reduced_by_20_percent0,7,20,"KidneyDisease, SleepTime, Sex, BMI, Diabetic, MentalHealth, AgeCategory"
RandomForest_7_features_reduced_by_40_percent0,7,40,"KidneyDisease, SleepTime, Sex, BMI, Diabetic, MentalHealth, AgeCategory"
RandomForest_7_features_reduced_by_60_percent0,7,60,"KidneyDisease, SleepTime, Sex, BMI, Diabetic, MentalHealth, AgeCategory"
RandomForest_7_features_reduced_by_80_percent0,7,80,"KidneyDisease, SleepTime, Sex, BMI, Diabetic, MentalHealth, AgeCategory"
RandomForest_6_features_reduced_by_0_percent0,6,0,"Asthma, SleepTime, Diabetic, AlcoholDrinking, PhysicalHealth, BMI"
RandomForest_6_features_reduced_by_20_percent0,6,20,"Asthma, SleepTime, Diabetic, AlcoholDrinking, PhysicalHealth, BMI"
RandomForest_6_features_reduced_by_40_percent0,6,40,"Asthma, SleepTime, Diabetic, AlcoholDrinking, PhysicalHealth, BMI"
RandomForest_6_features_reduced_by_60_percent0,6,60,"Asthma, SleepTime, Diabetic, AlcoholDrinking, PhysicalHealth, BMI"
RandomForest_6_features_reduced_by_80_percent0,6,80,"Asthma, SleepTime, Diabetic, AlcoholDrinking, PhysicalHealth, BMI"
RandomForest_5_features_reduced_by_0_percent0,5,0,"SkinCancer, Asthma, DiffWalking, Stroke, AgeCategory"
RandomForest_5_features_reduced_by_20_percent0,5,20,"SkinCancer, Asthma, DiffWalking, Stroke, AgeCategory"
RandomForest_5_features_reduced_by_40_percent0,5,40,"SkinCancer, Asthma, DiffWalking, Stroke, AgeCategory"
RandomForest_5_features_reduced_by_60_percent0,5,60,"SkinCancer, Asthma, DiffWalking, Stroke, AgeCategory"
RandomForest_5_features_reduced_by_80_percent0,5,80,"SkinCancer, Asthma, DiffWalking, Stroke, AgeCategory"
