timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue,num_features,reduction_percentage,feature_names
2023-11-16T13:29:26,XGBoost_17_features_reduced_by_0_percent0,8d5d7124-edc3-4863-a2f5-75a4bf1ad2ed,7.651293992996216,2.193319888623956e-05,2.866599938038796e-06,42.5,0.0,4.7543792724609375,9.028305129872428e-05,0,1.0081895864771773e-05,0.0001003649471634,United States,USA,district of columbia,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2,Intel(R) Xeon(R) CPU @ 2.20GHz,,,-77.0365,38.894,12.6783447265625,machine,N,1.0,17,0,"AlcoholDrinking, Asthma, AgeCategory, BMI, Sex, Race, SleepTime, Stroke, PhysicalActivity, Smoking, MentalHealth, KidneyDisease, GenHealth, Diabetic, PhysicalHealth, DiffWalking, SkinCancer"
2023-11-16T13:29:30,XGBoost_17_features_reduced_by_20_percent0,955c4d98-a34e-42d4-9bd9-f6b765990c6d,1.7767438888549805,5.082961611429005e-06,2.860829657731206e-06,42.5,0.0,4.7543792724609375,2.0925823350747428e-05,0,2.333491271398695e-06,2.325931462214612e-05,United States,USA,district of columbia,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2,Intel(R) Xeon(R) CPU @ 2.20GHz,,,-77.0365,38.894,12.6783447265625,machine,N,1.0,17,20,"AlcoholDrinking, Asthma, AgeCategory, BMI, Sex, Race, SleepTime, Stroke, PhysicalActivity, Smoking, MentalHealth, KidneyDisease, GenHealth, Diabetic, PhysicalHealth, DiffWalking, SkinCancer"
2023-11-16T13:29:33,XGBoost_17_features_reduced_by_40_percent0,70800c89-fa21-496d-ad3a-e47a50327b02,1.3779184818267822,3.936807434446631e-06,2.857068459686664e-06,42.5,0.0,4.7543792724609375,1.6208973195817737e-05,0,1.8056115531029115e-06,1.8014584748920648e-05,United States,USA,district of columbia,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2,Intel(R) Xeon(R) CPU @ 2.20GHz,,,-77.0365,38.894,12.6783447265625,machine,N,1.0,17,40,"AlcoholDrinking, Asthma, AgeCategory, BMI, Sex, Race, SleepTime, Stroke, PhysicalActivity, Smoking, MentalHealth, KidneyDisease, GenHealth, Diabetic, PhysicalHealth, DiffWalking, SkinCancer"
2023-11-16T13:29:36,XGBoost_17_features_reduced_by_60_percent0,2ab5e9a8-6eed-45aa-850d-0af247ef924c,0.9376888275146484,2.673834268989955e-06,2.8515155460228457e-06,42.5,0.0,4.7543792724609375,1.1007570226987204e-05,0,1.2277282592488825e-06,1.2235298486236086e-05,United States,USA,district of columbia,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2,Intel(R) Xeon(R) CPU @ 2.20GHz,,,-77.0365,38.894,12.6783447265625,machine,N,1.0,17,60,"AlcoholDrinking, Asthma, AgeCategory, BMI, Sex, Race, SleepTime, Stroke, PhysicalActivity, Smoking, MentalHealth, KidneyDisease, GenHealth, Diabetic, PhysicalHealth, DiffWalking, SkinCancer"
2023-11-16T13:29:41,XGBoost_17_features_reduced_by_80_percent0,8abc63d0-c323-4643-95b8-e2439ff6b549,2.349104404449463,6.710046504320115e-06,2.856427535366477e-06,42.5,0.0,4.7543792724609375,2.7621776196691728e-05,0,3.08297719398676e-06,3.0704753390678486e-05,United States,USA,district of columbia,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2,Intel(R) Xeon(R) CPU @ 2.20GHz,,,-77.0365,38.894,12.6783447265625,machine,N,1.0,17,80,"AlcoholDrinking, Asthma, AgeCategory, BMI, Sex, Race, SleepTime, Stroke, PhysicalActivity, Smoking, MentalHealth, KidneyDisease, GenHealth, Diabetic, PhysicalHealth, DiffWalking, SkinCancer"
2023-11-16T13:29:45,XGBoost_16_features_reduced_by_0_percent0,dd221242-59f2-49ea-8b51-972862ac32f0,2.1085469722747803,6.034424413266932e-06,2.861887590181008e-06,42.5,0.0,4.7543792724609375,2.4840471810764736e-05,0,2.7726771211776703e-06,2.761314893194241e-05,United States,USA,district of columbia,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2,Intel(R) Xeon(R) CPU @ 2.20GHz,,,-77.0365,38.894,12.6783447265625,machine,N,1.0,16,0,"SkinCancer, AlcoholDrinking, AgeCategory, Race, KidneyDisease, GenHealth, Smoking, Sex, DiffWalking, MentalHealth, Stroke, Asthma, BMI, PhysicalActivity, Diabetic, PhysicalHealth"
2023-11-16T13:29:49,XGBoost_16_features_reduced_by_20_percent0,2aed77c3-9800-4efc-a3e3-9ef509d0380b,1.7062327861785889,4.874360086480548e-06,2.8567966375781244e-06,42.5,0.0,4.7543792724609375,2.0067494445376928e-05,0,2.2372726372941545e-06,2.2304767082671083e-05,United States,USA,district of columbia,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2,Intel(R) Xeon(R) CPU @ 2.20GHz,,,-77.0365,38.894,12.6783447265625,machine,N,1.0,16,20,"SkinCancer, AlcoholDrinking, AgeCategory, Race, KidneyDisease, GenHealth, Smoking, Sex, DiffWalking, MentalHealth, Stroke, Asthma, BMI, PhysicalActivity, Diabetic, PhysicalHealth"
2023-11-16T13:29:55,XGBoost_16_features_reduced_by_40_percent0,279b6506-30fd-44ad-bcd6-9f553f487e1e,4.246084928512573,1.2160408821245608e-05,2.863910879310996e-06,42.5,0.0,4.7543792724609375,5.004959421025383e-05,0,5.595676466452158e-06,5.564527067670599e-05,United States,USA,district of columbia,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2,Intel(R) Xeon(R) CPU @ 2.20GHz,,,-77.0365,38.894,12.6783447265625,machine,N,1.0,16,40,"SkinCancer, AlcoholDrinking, AgeCategory, Race, KidneyDisease, GenHealth, Smoking, Sex, DiffWalking, MentalHealth, Stroke, Asthma, BMI, PhysicalActivity, Diabetic, PhysicalHealth"
2023-11-16T13:29:57,XGBoost_16_features_reduced_by_60_percent0,f22e4d81-b4f1-4548-b37d-9ce3b2f80f0d,0.8741683959960938,2.4923620197043007e-06,2.85112345758544e-06,42.5,0.0,4.7543792724609375,1.0263553261756897e-05,0,1.1413395547151596e-06,1.1404892816472056e-05,United States,USA,district of columbia,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2,Intel(R) Xeon(R) CPU @ 2.20GHz,,,-77.0365,38.894,12.6783447265625,machine,N,1.0,16,60,"SkinCancer, AlcoholDrinking, AgeCategory, Race, KidneyDisease, GenHealth, Smoking, Sex, DiffWalking, MentalHealth, Stroke, Asthma, BMI, PhysicalActivity, Diabetic, PhysicalHealth"
2023-11-16T13:30:00,XGBoost_16_features_reduced_by_80_percent0,403ad7b9-88b9-438c-b865-558cad7b94ee,0.4993841648101806,1.4176996287298035e-06,2.838895841378312e-06,42.5,0.0,4.7543792724609375,5.84113382630878e-06,0,6.461710610983574e-07,6.4873048874071376e-06,United States,USA,district of columbia,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2,Intel(R) Xeon(R) CPU @ 2.20GHz,,,-77.0365,38.894,12.6783447265625,machine,N,1.0,16,80,"SkinCancer, AlcoholDrinking, AgeCategory, Race, KidneyDisease, GenHealth, Smoking, Sex, DiffWalking, MentalHealth, Stroke, Asthma, BMI, PhysicalActivity, Diabetic, PhysicalHealth"
