energy_consumed,num_num_features,num_cat_features,number_of_instances,model
5.765098085062291e-06,4,13,320000.0,3.0
4.682099110243599e-06,4,13,256000.0,3.0
3.884730484094234e-06,4,13,192000.0,3.0
3.5558905433441e-06,4,13,128000.0,3.0
2.8453838290017885e-06,4,13,63999.999999999985,3.0
4.382738756525681e-06,4,12,320000.0,3.0
3.839936839150306e-06,4,12,256000.0,3.0
2.861998609214488e-06,4,12,192000.0,3.0
2.008575670353076e-06,4,12,128000.0,3.0
2.186200577379636e-06,4,12,63999.999999999985,3.0
8.473100337039341e-06,3,12,320000.0,3.0
4.3343081192501945e-06,3,12,256000.0,3.0
3.1319103329637857e-06,3,12,192000.0,3.0
2.432206513695848e-06,3,12,128000.0,3.0
1.397508319005662e-06,3,12,63999.999999999985,3.0
9.882418264167036e-06,3,11,320000.0,3.0
3.976063904634468e-06,3,11,256000.0,3.0
2.960398104599133e-06,3,11,192000.0,3.0
1.8618764967499149e-06,3,11,128000.0,3.0
9.394924045655748e-07,3,11,63999.999999999985,3.0
5.245527021585556e-06,4,9,320000.0,3.0
7.596140484806332e-06,4,9,256000.0,3.0
3.4434161852456354e-06,4,9,192000.0,3.0
2.184226990155796e-06,4,9,128000.0,3.0
1.1945475646563687e-06,4,9,63999.999999999985,3.0
4.618612768937978e-06,2,10,320000.0,3.0
3.3461009531031834e-06,2,10,256000.0,3.0
4.634948334189125e-06,2,10,192000.0,3.0
2.0169649988768394e-06,2,10,128000.0,3.0
8.343409571501248e-07,2,10,63999.999999999985,3.0
4.733363780536593e-06,1,10,320000.0,3.0
3.600254885273241e-06,1,10,256000.0,3.0
2.795472445805242e-06,1,10,192000.0,3.0
3.763127529126741e-06,1,10,128000.0,3.0
1.949620657435642e-06,1,10,63999.999999999985,3.0
4.468536724155886e-06,3,7,320000.0,3.0
3.485171063424433e-06,3,7,256000.0,3.0
2.3168436837971107e-06,3,7,192000.0,3.0
1.6817600276242375e-06,3,7,128000.0,3.0
1.6967198314628402e-06,3,7,63999.999999999985,3.0
6.906633652356378e-06,2,7,320000.0,3.0
3.418261497050897e-06,2,7,256000.0,3.0
2.587854838419111e-06,2,7,192000.0,3.0
1.6990882822154977e-06,2,7,128000.0,3.0
8.654212679999774e-07,2,7,63999.999999999985,3.0
5.292484992511011e-06,2,6,320000.0,3.0
3.3178544797092658e-06,2,6,256000.0,3.0
1.8692203804398056e-06,2,6,192000.0,3.0
1.156675586562667e-06,2,6,128000.0,3.0
6.831737264428108e-07,2,6,63999.999999999985,3.0
3.1533091732478e-06,0,7,320000.0,3.0
3.80327667824708e-06,0,7,256000.0,3.0
4.038997862441661e-06,0,7,192000.0,3.0
1.2434126743218914e-06,0,7,128000.0,3.0
7.344175010328197e-07,0,7,63999.999999999985,3.0
3.0117342393500246e-06,1,5,320000.0,3.0
2.3587993858449687e-06,1,5,256000.0,3.0
1.898228922637044e-06,1,5,192000.0,3.0
2.4925846682748443e-06,1,5,128000.0,3.0
6.511898607142384e-07,1,5,63999.999999999985,3.0
2.62616113857569e-06,1,4,320000.0,3.0
2.401082705494812e-06,1,4,256000.0,3.0
1.6548585934613258e-06,1,4,192000.0,3.0
1.2298097684019164e-06,1,4,128000.0,3.0
1.0643000544380106e-06,1,4,63999.999999999985,3.0
2.980484842734339e-06,1,3,320000.0,3.0
2.0689215061006886e-06,1,3,256000.0,3.0
1.7149283530383426e-06,1,3,192000.0,3.0
1.1507960508096302e-06,1,3,128000.0,3.0
7.363716305832214e-07,1,3,63999.999999999985,3.0
4.39248867248365e-06,2,1,320000.0,3.0
3.6181241804478574e-06,2,1,256000.0,3.0
1.371164497913608e-06,2,1,192000.0,3.0
9.282792170589952e-07,2,1,128000.0,3.0
5.951228126308352e-07,2,1,63999.999999999985,3.0
2.474515249301766e-06,1,1,320000.0,3.0
2.249451463667798e-06,1,1,256000.0,3.0
2.4515613848867207e-06,1,1,192000.0,3.0
2.3205728191394805e-06,1,1,128000.0,3.0
6.411191251452743e-07,1,1,63999.999999999985,3.0
2.105539614308011e-06,0,1,320000.0,3.0
1.6541567428614852e-06,0,1,256000.0,3.0
1.199368778256687e-06,0,1,192000.0,3.0
1.0304676616319362e-06,0,1,128000.0,3.0
9.627405498232774e-07,0,1,63999.999999999985,3.0
5.735983762120138e-06,4,13,320000.0,3.0
4.492305545341285e-06,4,13,256000.0,3.0
3.159740181687375e-06,4,13,192000.0,3.0
2.217232604836441e-06,4,13,128000.0,3.0
2.567639547703493e-06,4,13,63999.999999999985,3.0
6.850069068778136e-06,4,12,320000.0,3.0
3.1614054462462744e-06,4,12,256000.0,3.0
2.4171282396701426e-06,4,12,192000.0,3.0
1.5737184295390864e-06,4,12,128000.0,3.0
8.35612974359871e-07,4,12,63999.999999999985,3.0
7.603698172345237e-06,3,12,320000.0,3.0
7.106391119662211e-06,3,12,256000.0,3.0
2.830280891003175e-06,3,12,192000.0,3.0
1.7454459031341686e-06,3,12,128000.0,3.0
9.333584091873744e-07,3,12,63999.999999999985,3.0
5.331925183667687e-06,4,10,320000.0,3.0
5.013891818041809e-06,4,10,256000.0,3.0
5.892874210368859e-06,4,10,192000.0,3.0
1.789253745452394e-06,4,10,128000.0,3.0
1.1146380271876903e-06,4,10,63999.999999999985,3.0
4.9578626798036245e-06,3,10,320000.0,3.0
4.003558965104049e-06,3,10,256000.0,3.0
4.018759004435424e-06,3,10,192000.0,3.0
3.5645348945488804e-06,3,10,128000.0,3.0
9.656117420923414e-07,3,10,63999.999999999985,3.0
3.828416810783766e-06,2,10,320000.0,3.0
2.8468936714675565e-06,2,10,256000.0,3.0
2.089148521632625e-06,2,10,192000.0,3.0
1.4674658754384182e-06,2,10,128000.0,3.0
1.6691673314239904e-06,2,10,63999.999999999985,3.0
4.704833567203714e-06,2,9,320000.0,3.0
3.5736823019925e-06,2,9,256000.0,3.0
2.427118962669776e-06,2,9,192000.0,3.0
1.7030575036266603e-06,2,9,128000.0,3.0
9.479757540829168e-07,2,9,63999.999999999985,3.0
7.72818573228954e-06,2,8,320000.0,3.0
3.7443175063704834e-06,2,8,256000.0,3.0
2.765931192857352e-06,2,8,192000.0,3.0
1.6568076876723127e-06,2,8,128000.0,3.0
8.362086807671353e-07,2,8,63999.999999999985,3.0
4.046900765874284e-06,1,8,320000.0,3.0
5.301916930493968e-06,1,8,256000.0,3.0
4.692833436440462e-06,1,8,192000.0,3.0
1.7980620519428689e-06,1,8,128000.0,3.0
8.69320249098059e-07,1,8,63999.999999999985,3.0
2.723624466065644e-06,0,8,320000.0,3.0
2.264861215345744e-06,0,8,256000.0,3.0
2.353073754923369e-06,0,8,192000.0,3.0
1.792992010485111e-06,0,8,128000.0,3.0
6.359200088392452e-07,0,8,63999.999999999985,3.0
2.8509729920367974e-06,2,5,320000.0,3.0
2.3067189182834605e-06,2,5,256000.0,3.0
1.6125303552254564e-06,2,5,192000.0,3.0
1.1471469593333142e-06,2,5,128000.0,3.0
1.2669691770150215e-06,2,5,63999.999999999985,3.0
3.466675019285504e-06,1,5,320000.0,3.0
2.50530568581174e-06,1,5,256000.0,3.0
1.967908671257924e-06,1,5,192000.0,3.0
1.283600996935598e-06,1,5,128000.0,3.0
6.803865208130194e-07,1,5,63999.999999999985,3.0
5.205046990121155e-06,1,4,320000.0,3.0
2.5217536930704733e-06,1,4,256000.0,3.0
1.6340891924168473e-06,1,4,192000.0,3.0
1.076520266510291e-06,1,4,128000.0,3.0
6.241071689477924e-07,1,4,63999.999999999985,3.0
2.4890524753541543e-06,1,3,320000.0,3.0
2.3348580177563843e-06,1,3,256000.0,3.0
2.828495408785317e-06,1,3,192000.0,3.0
1.010149053171479e-06,1,3,128000.0,3.0
5.670876895771295e-07,1,3,63999.999999999985,3.0
2.4983349914615854e-06,1,2,320000.0,3.0
1.9368532770133444e-06,1,2,256000.0,3.0
1.5922833450942009e-06,1,2,192000.0,3.0
1.88802519502076e-06,1,2,128000.0,3.0
1.0636369654535989e-06,1,2,63999.999999999985,3.0
1.8902850518237025e-06,1,1,320000.0,3.0
1.648499633915574e-06,1,1,256000.0,3.0
1.2511943989775571e-06,1,1,192000.0,3.0
9.161080011289691e-07,1,1,128000.0,3.0
5.524301265574473e-07,1,1,63999.999999999985,3.0
3.991084905509487e-06,0,1,320000.0,3.0
1.601876187670036e-06,0,1,256000.0,3.0
1.2132642254932258e-06,0,1,192000.0,3.0
9.4499490742837e-07,0,1,128000.0,3.0
4.486206892601609e-07,0,1,63999.999999999985,3.0
5.615414529932157e-06,4,13,320000.0,3.0
7.894184708586573e-06,4,13,256000.0,3.0
3.2320866575620103e-06,4,13,192000.0,3.0
2.060614733707035e-06,4,13,128000.0,3.0
1.0544254095034628e-06,4,13,63999.999999999985,3.0
3.874919838667602e-06,3,13,320000.0,3.0
3.1183177914903763e-06,3,13,256000.0,3.0
4.7178343493676e-06,3,13,192000.0,3.0
3.074374883285537e-06,3,13,128000.0,3.0
8.105970344467375e-07,3,13,63999.999999999985,3.0
4.61922661423652e-06,4,11,320000.0,3.0
3.480456029637936e-06,4,11,256000.0,3.0
2.605306875979194e-06,4,11,192000.0,3.0
2.9736767162499216e-06,4,11,128000.0,3.0
1.2930995252364457e-06,4,11,63999.999999999985,3.0
5.398767976926895e-06,4,10,320000.0,3.0
4.085124565373614e-06,4,10,256000.0,3.0
2.960191733925576e-06,4,10,192000.0,3.0
2.21680951947576e-06,4,10,128000.0,3.0
1.9476649856661274e-06,4,10,63999.999999999985,3.0
6.471780025091158e-06,3,10,320000.0,3.0
3.5389333991901147e-06,3,10,256000.0,3.0
2.641830351837232e-06,3,10,192000.0,3.0
2.163355919095188e-06,3,10,128000.0,3.0
1.2907702582936054e-06,3,10,63999.999999999985,3.0
7.877935425219108e-06,3,9,320000.0,3.0
3.867665858694775e-06,3,9,256000.0,3.0
2.593826267815934e-06,3,9,192000.0,3.0
1.962360499493344e-06,3,9,128000.0,3.0
1.0191703324260797e-06,3,9,63999.999999999985,3.0
3.925136881095645e-06,1,10,320000.0,3.0
5.5118410377288126e-06,1,10,256000.0,3.0
3.646894983524856e-06,1,10,192000.0,3.0
1.5037670862530682e-06,1,10,128000.0,3.0
7.748294458893826e-07,1,10,63999.999999999985,3.0
3.460305851212474e-06,2,8,320000.0,3.0
2.728437965626856e-06,2,8,256000.0,3.0
3.44762171770804e-06,2,8,192000.0,3.0
2.32108064861115e-06,2,8,128000.0,3.0
8.499950827251092e-07,2,8,63999.999999999985,3.0
3.861216300667063e-06,2,7,320000.0,3.0
2.87691864229771e-06,2,7,256000.0,3.0
2.344669723896686e-06,2,7,192000.0,3.0
2.853996556322929e-06,2,7,128000.0,3.0
1.7142780572603063e-06,2,7,63999.999999999985,3.0
3.3410415129632536e-06,2,6,320000.0,3.0
2.720412440220975e-06,2,6,256000.0,3.0
2.1113796735426784e-06,2,6,192000.0,3.0
1.5168985013758628e-06,2,6,128000.0,3.0
7.401202834658862e-07,2,6,63999.999999999985,3.0
4.852403610063208e-06,2,5,320000.0,3.0
2.602773960542966e-06,2,5,256000.0,3.0
1.8240966511336235e-06,2,5,192000.0,3.0
1.2990241566579169e-06,2,5,128000.0,3.0
7.652627581488028e-07,2,5,63999.999999999985,3.0
2.767582191331839e-06,2,4,320000.0,3.0
4.531273796342817e-06,2,4,256000.0,3.0
2.5260165864258016e-06,2,4,192000.0,3.0
1.2989780187379235e-06,2,4,128000.0,3.0
5.965749641455255e-07,2,4,63999.999999999985,3.0
2.911533581957176e-06,0,5,320000.0,3.0
2.305704268332597e-06,0,5,256000.0,3.0
3.701846123102352e-06,0,5,192000.0,3.0
